DOL,CD
1.000,6.011
1.042,6.011
1.083,6.010
1.125,6.011
1.167,6.010
1.208,6.010
1.250,6.009
1.292,6.010
1.375,6.012
1.417,6.011
1.458,6.011
1.500,6.012
1.542,6.012
1.583,6.012
1.625,6.013
1.667,6.013
1.708,6.012
1.750,6.012
1.792,6.010
1.833,6.010
1.875,6.010
1.958,6.010
2.000,6.011
2.042,6.011
2.083,6.013
2.125,6.010
2.167,6.013
2.208,6.011
2.250,6.011
2.292,6.010
2.375,6.009
2.417,6.011
2.458,6.011
2.500,6.011
2.542,6.011
2.583,6.012
2.625,6.012
2.667,6.011
2.708,6.011
2.750,6.011
2.792,6.010
2.833,6.011
2.875,6.010
2.958,6.011
3.000,6.011
3.042,6.011
3.083,6.012
3.125,6.010
3.167,6.010
3.208,6.011
3.250,6.010
3.292,6.010
3.375,6.009
3.417,6.010
3.458,6.010
3.500,6.012
3.542,6.011
3.583,5.060
3.625,3.677
3.667,4.046
3.708,6.012
3.750,6.011
3.792,6.010
3.833,6.011
3.875,6.010
3.958,6.010
4.000,6.010
4.042,6.009
4.083,6.012
4.125,6.009
4.167,6.010
4.208,6.010
4.250,6.010
4.292,6.010
4.375,6.012
4.417,6.011
4.458,6.013
4.500,6.014
4.542,6.014
4.583,6.014
4.625,6.014
4.667,6.013
4.708,6.012
4.750,6.012
4.792,6.011
4.833,6.011
4.875,6.011
4.958,6.010
5.000,6.010
5.042,6.010
5.083,6.011
5.125,6.011
5.167,6.011
5.208,6.010
5.250,6.011
5.292,6.011
5.375,6.012
5.417,6.012
5.458,6.013
5.500,6.014
5.542,6.011
5.583,6.013
5.625,6.013
5.667,6.012
5.708,6.012
5.750,6.012
5.792,6.011
5.833,6.011
5.875,6.012
5.958,6.013
6.000,6.013
6.042,6.012
6.083,6.012
6.125,6.013
6.167,6.010
6.208,6.012
6.250,6.013
6.292,6.012
6.375,6.013
6.417,6.013
6.458,6.013
6.500,6.014
6.542,6.012
6.583,6.014
6.625,6.015
6.667,6.014
6.708,6.014
6.750,6.013
6.792,6.014
6.833,6.015
6.875,6.014
6.958,6.012
7.000,6.014
7.042,6.012
7.083,6.011
7.125,6.011
7.167,6.012
7.208,6.011
7.250,6.012
7.292,6.011
7.375,4.293
7.417,4.261
7.458,4.260
7.500,4.261
7.542,4.261
7.583,4.260
7.625,4.262
7.667,4.261
7.708,4.260
7.750,4.260
7.792,4.260
7.833,4.260
7.875,4.260
7.958,6.011
8.000,6.012
8.042,6.011
8.083,6.011
8.125,6.009
8.167,6.010
8.208,6.009
8.250,6.009
8.292,6.011
8.375,6.010
8.417,6.010
8.458,6.011
8.500,6.011
8.542,6.011
8.583,6.012
8.625,6.012
8.667,6.012
8.708,6.011
8.750,6.011
8.792,6.011
8.833,6.011
8.875,6.011
8.958,6.014
9.000,6.010
9.042,6.011
9.083,6.011
9.125,6.014
9.167,6.012
9.208,6.012
9.250,6.011
9.292,6.011
9.375,6.012
9.417,6.013
9.458,6.014
9.500,6.013
9.542,6.013
9.583,6.012
9.625,6.013
9.667,6.013
9.708,6.013
9.750,6.012
9.792,6.011
9.833,6.011
9.875,6.011
9.958,6.011
10.000,6.009
10.042,6.010
10.083,6.012
10.125,6.011
10.167,6.010
10.208,6.013
10.250,6.011
10.292,6.011
10.375,6.012
10.417,6.012
10.458,6.012
10.500,6.012
10.542,6.012
10.583,6.013
10.625,6.013
10.667,6.013
10.708,6.012
10.750,6.011
10.792,6.012
10.833,6.010
10.875,6.011
10.958,6.010
11.000,6.010
11.042,6.009
11.083,6.011
11.125,6.010
11.167,6.011
11.208,6.011
11.250,6.011
11.292,6.011
11.375,6.009
11.417,6.012
11.458,6.013
11.500,6.012
11.542,6.012
11.583,6.013
11.625,6.013
11.667,6.012
11.708,6.013
11.750,6.012
11.792,6.012
11.833,6.011
11.875,6.011
11.958,6.013
12.000,6.010
12.042,6.010
12.083,6.011
12.125,6.010
12.167,6.012
12.208,6.011
12.250,6.010
12.292,6.011
12.375,6.010
12.417,6.013
12.458,6.013
12.500,6.013
12.542,6.012
12.583,6.014
12.625,6.014
12.667,6.014
12.708,6.013
12.750,6.014
12.792,6.012
12.833,6.012
12.875,6.011
12.958,6.012
13.000,6.012
13.042,6.011
13.083,6.012
13.125,6.015
13.167,6.013
13.208,6.011
13.250,6.013
13.292,6.012
13.375,6.013
13.417,6.013
13.458,6.014
13.500,6.014
13.542,6.015
13.583,6.015
13.625,6.013
13.667,6.014
13.708,6.013
13.750,6.013
13.792,6.011
13.833,6.010
13.875,6.012
13.958,6.012
14.000,6.011
14.042,6.012
14.083,6.013
14.125,6.014
14.167,6.013
14.208,6.013
14.250,6.013
14.292,6.014
14.375,6.013
14.417,5.982
14.458,6.013
14.500,6.013
14.542,6.014
14.583,6.012
14.625,6.014
14.667,6.013
14.708,6.013
14.750,6.012
14.792,6.013
14.833,6.012
14.875,6.012
14.958,6.014
15.000,6.011
15.042,6.011
15.083,6.011
15.125,6.011
15.167,6.011
15.208,6.010
15.250,6.010
15.292,6.013
15.375,6.014
15.417,6.014
15.458,6.013
15.500,6.013
15.542,6.014
15.583,6.015
15.625,6.015
15.667,6.014
15.708,6.014
15.750,6.014
15.792,6.012
15.833,6.014
15.875,6.013
15.958,6.013
16.000,6.012
16.042,6.013
16.083,6.012
16.125,6.011
16.167,6.011
16.208,6.014
16.250,6.013
16.292,6.011
16.375,6.012
16.417,6.013
16.458,6.014
16.500,6.014
16.542,6.014
16.583,6.014
16.625,6.013
16.667,6.015
16.708,6.014
16.750,6.014
16.792,6.013
16.833,6.012
16.875,6.013
16.958,6.013
17.000,6.014
17.042,6.012
17.083,6.013
17.125,6.010
17.167,6.012
17.208,6.012
17.250,6.011
17.292,6.011
17.375,6.013
17.417,6.012
17.458,6.013
17.500,6.012
17.542,6.014
17.583,6.014
17.625,6.013
17.667,6.013
17.708,6.013
17.750,6.013
17.792,6.013
17.833,6.012
17.875,6.013
17.958,6.012
18.000,6.012
18.042,6.012
18.083,6.010
18.125,6.012
18.167,6.010
18.208,6.010
18.250,6.010
18.292,6.010
18.375,6.011
18.417,6.011
18.458,6.012
18.500,6.011
18.542,6.010
18.583,6.009
18.625,6.009
18.667,6.009
18.708,6.009
18.750,6.010
18.792,6.011
18.833,6.010
18.875,6.009
18.958,6.010
19.000,6.009
19.042,6.009
19.083,6.010
19.125,6.012
19.167,6.011
19.208,6.012
19.250,6.011
19.292,6.009
19.375,6.010
19.417,6.012
19.458,6.013
19.500,6.014
19.542,6.015
19.583,6.014
19.625,6.014
19.667,6.014
19.708,6.013
19.750,6.013
19.792,6.013
19.833,6.013
19.875,6.015
19.958,6.014
20.000,6.013
20.042,6.011
20.083,6.012
20.125,6.011
20.167,6.013
20.208,6.011
20.250,6.011
20.292,6.009
20.375,6.012
20.417,6.013
20.458,6.011
20.500,6.016
20.542,6.015
20.583,6.015
20.625,6.014
20.667,6.014
20.708,6.014
20.750,6.012
20.792,6.013
20.833,6.013
20.875,6.014
20.958,6.013
21.000,6.012
21.042,6.013
21.083,6.012
21.125,6.011
21.167,6.009
21.208,6.010
21.250,6.010
21.292,6.010
21.375,6.012
21.417,6.011
21.458,6.012
21.500,6.012
21.542,6.013
21.583,6.013
21.625,6.014
21.667,6.013
21.708,6.012
21.750,6.012
21.792,6.012
21.833,6.013
21.875,6.012
21.958,6.012
22.000,6.012
22.042,6.013
22.083,6.012
22.125,6.012
22.167,6.011
22.208,6.013
22.250,6.013
22.292,6.012
22.375,6.014
22.417,6.013
22.458,6.013
22.500,6.013
22.542,6.014
22.583,6.014
22.625,6.014
22.667,6.013
22.708,6.013
22.750,6.013
22.792,6.012
22.833,6.013
22.875,6.013
22.958,6.013
23.000,6.014
23.042,6.012
23.083,6.012
23.125,6.012
23.167,6.011
23.208,6.012
23.250,6.012
23.292,6.010
23.375,6.010
23.417,6.011
23.458,6.009
23.500,6.011
23.542,6.011
23.583,6.011
23.625,6.013
23.667,6.012
23.708,6.012
23.750,6.012
23.792,6.012
23.833,6.011
23.875,6.011
23.958,6.015
24.000,6.012
24.042,6.012
24.083,6.012
24.125,6.013
24.167,6.012
24.208,6.012
24.250,6.013
24.292,6.012
24.375,6.012
24.417,6.011
24.458,6.012
24.500,6.013
24.542,6.014
24.583,6.014
24.625,6.013
24.667,6.013
24.708,6.013
24.750,6.014
24.792,6.012
24.833,6.013
24.875,6.012
24.958,6.013
25.000,6.012
25.042,6.012
25.083,6.010
25.125,6.011
25.167,6.011
25.208,6.011
25.250,6.011
25.292,6.013
25.375,6.013
25.417,6.013
25.458,6.013
25.500,6.013
25.542,6.014
25.583,6.014
25.625,6.014
25.667,6.014
25.708,6.012
25.750,6.012
25.792,6.012
25.833,6.012
25.875,6.013
25.958,6.012
26.000,6.014
26.042,6.013
26.083,6.015
26.125,6.015
26.167,6.013
26.208,6.014
26.250,6.012
26.292,6.013
26.375,6.013
26.417,6.013
26.458,6.014
26.500,6.014
26.542,6.015
26.583,6.015
26.625,6.014
26.667,6.015
26.708,6.013
26.750,6.012
26.792,6.012
26.833,6.013
26.875,6.013
26.958,6.013
27.000,6.012
27.042,6.012
27.083,6.014
27.125,6.012
27.167,6.012
27.208,6.012
27.250,6.013
27.292,6.013
27.375,6.014
27.417,6.014
27.458,6.013
27.500,6.015
27.542,6.015
27.583,6.015
27.625,6.014
27.667,6.014
27.708,6.012
27.750,6.014
27.792,6.013
27.833,6.014
27.875,6.015
27.958,6.012
28.000,6.013
28.042,6.012
28.083,6.013
28.125,6.013
28.167,6.014
28.208,6.012
28.250,6.013
28.292,6.013
28.375,2.547
28.417,2.455
28.458,2.331
28.958,6.011
29.000,6.013
29.042,6.012
29.083,6.013
29.125,6.013
29.167,6.014
29.208,6.013
29.250,6.013
29.292,6.012
29.375,3.047
29.417,2.454
29.458,2.454
29.500,2.455
29.542,2.454
29.583,2.453
29.625,2.454
29.667,2.453
29.708,2.452
29.750,2.454
29.792,2.452
29.833,2.453
29.875,2.452
29.958,6.012
30.000,6.012
30.042,6.012
