DOL,CD,FI3312A
1.000,6.011,28.951
1.042,6.011,29.264
1.083,6.010,29.071
1.125,6.011,28.901
1.167,6.010,29.470
1.208,6.010,28.899
1.250,6.009,29.830
1.292,6.010,29.386
1.375,6.012,28.743
1.417,6.011,29.800
1.458,6.011,29.270
1.500,6.012,29.961
1.542,6.012,29.879
1.583,6.012,29.725
1.625,6.013,29.813
1.667,6.013,29.557
1.708,6.012,29.290
1.750,6.012,29.925
1.792,6.010,29.241
1.833,6.010,29.681
1.875,6.010,29.142
1.958,6.010,29.298
2.000,6.011,29.059
2.042,6.011,29.117
2.083,6.013,29.427
2.125,6.010,29.546
2.167,6.013,29.228
2.208,6.011,29.797
2.250,6.011,29.202
2.292,6.010,29.889
2.375,6.009,30.111
2.417,6.011,29.567
2.458,6.011,30.072
2.500,6.011,29.515
2.542,6.011,29.994
2.583,6.012,29.883
2.625,6.012,30.079
2.667,6.011,29.927
2.708,6.011,30.014
2.750,6.011,29.860
2.792,6.010,29.207
2.833,6.011,30.153
2.875,6.010,29.336
2.958,6.011,29.938
3.000,6.011,29.709
3.042,6.011,29.848
3.083,6.012,29.865
3.125,6.010,29.822
3.167,6.010,29.350
3.208,6.011,29.032
3.250,6.010,29.507
3.292,6.010,29.250
3.375,6.009,29.188
3.417,6.010,29.134
3.458,6.010,30.097
3.500,6.012,29.530
3.542,6.011,29.899
3.583,5.060,29.387
3.625,3.677,19.479
3.667,4.046,23.984
3.708,6.012,28.577
3.750,6.011,28.484
3.792,6.010,28.446
3.833,6.011,28.329
3.875,6.010,27.753
3.958,6.010,28.433
4.000,6.010,28.556
4.042,6.009,28.170
4.083,6.012,28.441
4.125,6.009,28.648
4.167,6.010,28.739
4.208,6.010,28.685
4.250,6.010,28.684
4.292,6.010,28.042
4.375,6.012,28.647
4.417,6.011,28.417
4.458,6.013,28.206
4.500,6.014,28.456
4.542,6.014,28.625
4.583,6.014,28.144
4.625,6.014,28.357
4.667,6.013,28.299
4.708,6.012,28.677
4.750,6.012,28.317
4.792,6.011,28.421
4.833,6.011,28.425
4.875,6.011,28.584
4.958,6.010,28.543
5.000,6.010,28.699
5.042,6.010,28.726
5.083,6.011,28.474
5.125,6.011,28.203
5.167,6.011,28.749
5.208,6.010,28.584
5.250,6.011,28.536
5.292,6.011,28.668
5.375,6.012,28.322
5.417,6.012,28.105
5.458,6.013,28.082
5.500,6.014,28.614
5.542,6.011,28.229
5.583,6.013,28.162
5.625,6.013,28.717
5.667,6.012,28.133
5.708,6.012,28.385
5.750,6.012,28.042
5.792,6.011,28.329
5.833,6.011,28.327
5.875,6.012,28.382
5.958,6.013,28.440
6.000,6.013,28.840
6.042,6.012,28.451
6.083,6.012,28.558
6.125,6.013,28.407
6.167,6.010,28.575
6.208,6.012,28.434
6.250,6.013,28.526
6.292,6.012,27.914
6.375,6.013,28.344
6.417,6.013,28.152
6.458,6.013,28.672
6.500,6.014,28.268
6.542,6.012,28.547
6.583,6.014,28.533
6.625,6.015,28.676
6.667,6.014,28.669
6.708,6.014,28.709
6.750,6.013,28.440
6.792,6.014,28.378
6.833,6.015,27.937
6.875,6.014,28.757
6.958,6.012,28.627
7.000,6.014,28.269
7.042,6.012,28.679
7.083,6.011,28.002
7.125,6.011,28.409
7.167,6.012,28.631
7.208,6.011,28.049
7.250,6.012,28.019
7.292,6.011,28.472
7.375,4.293,21.429
7.417,4.261,21.012
7.458,4.260,21.204
7.500,4.261,20.972
7.542,4.261,20.943
7.583,4.260,21.051
7.625,4.262,21.199
7.667,4.261,21.199
7.708,4.260,21.132
7.750,4.260,21.202
7.792,4.260,20.859
7.833,4.260,21.158
7.875,4.260,20.921
7.958,6.011,29.296
8.000,6.012,29.263
8.042,6.011,29.439
8.083,6.011,29.432
8.125,6.009,29.368
8.167,6.010,29.432
8.208,6.009,29.070
8.250,6.009,29.342
8.292,6.011,29.524
8.375,6.010,29.266
8.417,6.010,29.445
8.458,6.011,29.362
8.500,6.011,29.362
8.542,6.011,29.376
8.583,6.012,29.405
8.625,6.012,29.501
8.667,6.012,29.420
8.708,6.011,29.432
8.750,6.011,29.492
8.792,6.011,29.440
8.833,6.011,29.367
8.875,6.011,29.387
8.958,6.014,29.651
9.000,6.010,29.713
9.042,6.011,29.678
9.083,6.011,29.071
9.125,6.014,29.342
9.167,6.012,29.572
9.208,6.012,29.480
9.250,6.011,29.570
9.292,6.011,29.608
9.375,6.012,29.546
9.417,6.013,29.434
9.458,6.014,29.722
9.500,6.013,29.646
9.542,6.013,29.686
9.583,6.012,29.553
9.625,6.013,29.561
9.667,6.013,29.594
9.708,6.013,29.489
9.750,6.012,29.687
9.792,6.011,29.799
9.833,6.011,29.747
9.875,6.011,29.646
9.958,6.011,29.567
10.000,6.009,29.634
10.042,6.010,29.689
10.083,6.012,29.766
10.125,6.011,29.016
10.167,6.010,29.659
10.208,6.013,29.651
10.250,6.011,29.542
10.292,6.011,29.754
10.375,6.012,29.660
10.417,6.012,29.614
10.458,6.012,29.651
10.500,6.012,29.629
10.542,6.012,29.706
10.583,6.013,29.688
10.625,6.013,29.768
10.667,6.013,29.371
10.708,6.012,29.794
10.750,6.011,29.729
10.792,6.012,29.739
10.833,6.010,29.609
10.875,6.011,29.779
10.958,6.010,29.855
11.000,6.010,29.452
11.042,6.009,29.569
11.083,6.011,29.593
11.125,6.010,29.628
11.167,6.011,29.589
11.208,6.011,29.603
11.250,6.011,29.475
11.292,6.011,29.611
11.375,6.009,29.788
11.417,6.012,29.575
11.458,6.013,29.811
11.500,6.012,29.771
11.542,6.012,29.858
11.583,6.013,29.653
11.625,6.013,29.628
11.667,6.012,29.581
11.708,6.013,29.923
11.750,6.012,29.814
11.792,6.012,29.946
11.833,6.011,29.757
11.875,6.011,29.159
11.958,6.013,29.740
12.000,6.010,29.676
12.042,6.010,29.733
12.083,6.011,29.712
12.125,6.010,29.706
12.167,6.012,29.393
12.208,6.011,29.062
12.250,6.010,29.618
12.292,6.011,29.589
12.375,6.010,29.627
12.417,6.013,29.661
12.458,6.013,29.770
12.500,6.013,29.732
12.542,6.012,29.698
12.583,6.014,29.836
12.625,6.014,29.826
12.667,6.014,29.826
12.708,6.013,29.792
12.750,6.014,29.900
12.792,6.012,29.660
12.833,6.012,29.830
12.875,6.011,29.721
12.958,6.012,29.740
13.000,6.012,29.673
13.042,6.011,29.550
13.083,6.012,29.689
13.125,6.015,29.792
13.167,6.013,29.020
13.208,6.011,29.716
13.250,6.013,29.441
13.292,6.012,29.691
13.375,6.013,29.687
13.417,6.013,29.685
13.458,6.014,29.417
13.500,6.014,29.636
13.542,6.015,29.220
13.583,6.015,29.702
13.625,6.013,29.838
13.667,6.014,29.437
13.708,6.013,29.711
13.750,6.013,29.716
13.792,6.011,29.872
13.833,6.010,29.534
13.875,6.012,29.662
13.958,6.012,29.779
14.000,6.011,29.797
14.042,6.012,29.658
14.083,6.013,29.796
14.125,6.014,29.657
14.167,6.013,28.938
14.208,6.013,29.738
14.250,6.013,29.799
14.292,6.014,29.755
14.375,6.013,29.377
14.417,5.982,29.848
14.458,6.013,29.983
14.500,6.013,29.619
14.542,6.014,29.812
14.583,6.012,29.805
14.625,6.014,29.460
14.667,6.013,29.581
14.708,6.013,29.093
14.750,6.012,29.074
14.792,6.013,29.739
14.833,6.012,29.652
14.875,6.012,29.318
14.958,6.014,29.391
15.000,6.011,29.652
15.042,6.011,29.854
15.083,6.011,29.724
15.125,6.011,29.670
15.167,6.011,29.902
15.208,6.010,29.674
15.250,6.010,29.809
15.292,6.013,29.853
15.375,6.014,29.491
15.417,6.014,29.191
15.458,6.013,29.838
15.500,6.013,29.721
15.542,6.014,29.699
15.583,6.015,29.632
15.625,6.015,29.731
15.667,6.014,29.660
15.708,6.014,29.831
15.750,6.014,29.720
15.792,6.012,29.850
15.833,6.014,29.896
15.875,6.013,29.310
15.958,6.013,29.722
16.000,6.012,29.623
16.042,6.013,29.874
16.083,6.012,29.696
16.125,6.011,29.819
16.167,6.011,29.421
16.208,6.014,28.992
16.250,6.013,29.603
16.292,6.011,29.857
16.375,6.012,29.677
16.417,6.013,29.820
16.458,6.014,29.793
16.500,6.014,29.100
16.542,6.014,29.802
16.583,6.014,29.717
16.625,6.013,29.163
16.667,6.015,29.245
16.708,6.014,29.497
16.750,6.014,29.715
16.792,6.013,29.701
16.833,6.012,29.571
16.875,6.013,29.419
16.958,6.013,29.356
17.000,6.014,29.452
17.042,6.012,29.591
17.083,6.013,29.549
17.125,6.010,29.619
17.167,6.012,28.791
17.208,6.012,28.755
17.250,6.011,29.130
17.292,6.011,29.317
17.375,6.013,29.526
17.417,6.012,29.570
17.458,6.013,29.336
17.500,6.012,29.337
17.542,6.014,28.833
17.583,6.014,29.452
17.625,6.013,29.428
17.667,6.013,28.829
17.708,6.013,29.487
