DOL,CD,FI3312B
1.000,6.011,31.324
1.042,6.011,31.376
1.083,6.010,31.471
1.125,6.011,31.488
1.167,6.010,31.255
1.208,6.010,31.488
1.250,6.009,31.422
1.292,6.010,31.237
1.375,6.012,31.218
1.417,6.011,31.945
1.458,6.011,31.809
1.500,6.012,31.762
1.542,6.012,31.659
1.583,6.012,31.858
1.625,6.013,31.651
1.667,6.013,31.742
1.708,6.012,31.712
1.750,6.012,31.818
1.792,6.010,31.740
1.833,6.010,31.765
1.875,6.010,31.715
1.958,6.010,31.897
2.000,6.011,31.589
2.042,6.011,31.553
2.083,6.013,31.693
2.125,6.010,31.426
2.167,6.013,31.669
2.208,6.011,31.628
2.250,6.011,31.619
2.292,6.010,31.618
2.375,6.009,31.623
2.417,6.011,31.794
2.458,6.011,31.575
2.500,6.011,31.719
2.542,6.011,31.522
2.583,6.012,31.464
2.625,6.012,31.625
2.667,6.011,31.625
2.708,6.011,31.683
2.750,6.011,31.689
2.792,6.010,31.854
2.833,6.011,31.720
2.875,6.010,31.732
2.958,6.011,31.471
3.000,6.011,31.518
3.042,6.011,31.652
3.083,6.012,31.480
3.125,6.010,31.757
3.167,6.010,31.809
3.208,6.011,31.636
3.250,6.010,31.816
3.292,6.010,31.747
3.375,6.009,31.567
3.417,6.010,31.706
3.458,6.010,31.798
3.500,6.012,31.741
3.542,6.011,31.708
3.583,5.060,31.815
3.625,3.677,31.181
3.667,4.046,31.319
3.708,6.012,31.586
3.750,6.011,31.510
3.792,6.010,31.503
3.833,6.011,31.678
3.875,6.010,31.552
3.958,6.010,31.608
4.000,6.010,31.651
4.042,6.009,31.415
4.083,6.012,31.667
4.125,6.009,31.483
4.167,6.010,31.502
4.208,6.010,31.542
4.250,6.010,31.374
4.292,6.010,31.452
4.375,6.012,31.537
4.417,6.011,31.405
4.458,6.013,31.685
4.500,6.014,31.623
4.542,6.014,31.786
4.583,6.014,31.516
4.625,6.014,31.622
4.667,6.013,31.644
4.708,6.012,31.869
4.750,6.012,31.703
4.792,6.011,31.511
4.833,6.011,31.615
4.875,6.011,31.748
4.958,6.010,31.415
5.000,6.010,31.573
5.042,6.010,31.570
5.083,6.011,31.516
5.125,6.011,31.812
5.167,6.011,31.553
5.208,6.010,31.512
5.250,6.011,31.521
5.292,6.011,31.672
5.375,6.012,31.910
5.417,6.012,31.575
5.458,6.013,31.492
5.500,6.014,31.631
5.542,6.011,31.568
5.583,6.013,31.677
5.625,6.013,31.682
5.667,6.012,31.631
5.708,6.012,31.604
5.750,6.012,31.586
5.792,6.011,31.632
5.833,6.011,31.889
5.875,6.012,31.796
5.958,6.013,31.860
6.000,6.013,31.910
6.042,6.012,31.620
6.083,6.012,31.726
6.125,6.013,31.512
6.167,6.010,31.777
6.208,6.012,31.565
6.250,6.013,31.723
6.292,6.012,31.618
6.375,6.013,31.761
6.417,6.013,31.778
6.458,6.013,31.778
6.500,6.014,31.614
6.542,6.012,31.534
6.583,6.014,31.539
6.625,6.015,31.638
6.667,6.014,31.428
6.708,6.014,31.459
6.750,6.013,31.645
6.792,6.014,31.656
6.833,6.015,31.651
6.875,6.014,31.393
6.958,6.012,31.654
7.000,6.014,31.402
7.042,6.012,31.559
7.083,6.011,31.593
7.125,6.011,31.742
7.167,6.012,31.809
7.208,6.011,31.598
7.250,6.012,31.854
7.292,6.011,31.638
7.375,4.293,31.593
7.417,4.261,31.283
7.458,4.260,31.373
7.500,4.261,31.301
7.542,4.261,31.219
7.583,4.260,31.054
7.625,4.262,31.101
7.667,4.261,30.986
7.708,4.260,31.254
7.750,4.260,30.869
7.792,4.260,31.298
7.833,4.260,31.353
7.875,4.260,31.068
7.958,6.011,31.746
8.000,6.012,31.697
8.042,6.011,31.422
8.083,6.011,31.336
8.125,6.009,31.577
8.167,6.010,31.352
8.208,6.009,31.435
8.250,6.009,31.384
8.292,6.011,31.461
8.375,6.010,31.600
8.417,6.010,31.470
8.458,6.011,31.448
8.500,6.011,31.590
8.542,6.011,31.705
8.583,6.012,31.464
8.625,6.012,31.716
8.667,6.012,31.585
8.708,6.011,31.599
8.750,6.011,31.573
8.792,6.011,31.747
8.833,6.011,31.801
8.875,6.011,31.623
8.958,6.014,31.846
9.000,6.010,31.758
9.042,6.011,31.768
9.083,6.011,31.613
9.125,6.014,31.519
9.167,6.012,31.440
9.208,6.012,31.268
9.250,6.011,31.447
9.292,6.011,31.734
9.375,6.012,31.605
9.417,6.013,31.574
9.458,6.014,31.756
9.500,6.013,31.926
9.542,6.013,31.480
9.583,6.012,31.363
9.625,6.013,31.534
9.667,6.013,31.621
9.708,6.013,31.559
9.750,6.012,31.637
9.792,6.011,31.668
9.833,6.011,31.545
9.875,6.011,31.702
9.958,6.011,31.612
10.000,6.009,31.653
10.042,6.010,31.676
10.083,6.012,31.835
10.125,6.011,31.698
10.167,6.010,31.576
10.208,6.013,31.587
10.250,6.011,31.648
10.292,6.011,31.417
10.375,6.012,31.740
10.417,6.012,31.834
10.458,6.012,31.708
10.500,6.012,31.578
10.542,6.012,31.606
10.583,6.013,31.493
10.625,6.013,31.628
10.667,6.013,31.510
10.708,6.012,31.767
