DOL,CD,TI3302A
1.000,6.011,88.364
1.042,6.011,88.354
1.083,6.010,88.328
1.125,6.011,88.278
1.167,6.010,88.282
1.208,6.010,88.299
1.250,6.009,88.306
1.292,6.010,88.346
1.375,6.012,88.393
1.417,6.011,88.373
1.458,6.011,88.357
1.500,6.012,88.421
1.542,6.012,88.439
1.583,6.012,88.431
1.625,6.013,88.396
1.667,6.013,88.361
1.708,6.012,88.294
1.750,6.012,88.271
1.792,6.010,88.275
1.833,6.010,88.288
1.875,6.010,88.255
1.958,6.010,88.294
2.000,6.011,88.228
2.042,6.011,88.225
2.083,6.013,88.252
2.125,6.010,88.245
2.167,6.013,88.274
2.208,6.011,88.270
2.250,6.011,88.224
2.292,6.010,88.310
2.375,6.009,88.358
2.417,6.011,88.386
2.458,6.011,88.397
2.500,6.011,88.443
2.542,6.011,88.431
2.583,6.012,88.354
2.625,6.012,88.307
2.667,6.011,88.315
2.708,6.011,88.327
2.750,6.011,88.321
2.792,6.010,88.318
2.833,6.011,88.286
2.875,6.010,88.277
2.958,6.011,88.314
3.000,6.011,88.315
3.042,6.011,88.331
3.083,6.012,88.229
3.125,6.010,88.266
3.167,6.010,88.249
3.208,6.011,88.242
3.250,6.010,88.280
3.292,6.010,88.326
3.375,6.009,88.341
3.417,6.010,88.359
3.458,6.010,88.419
3.500,6.012,88.426
3.542,6.011,88.445
3.583,5.060,88.065
3.625,3.677,85.175
3.667,4.046,84.885
3.708,6.012,88.300
3.750,6.011,88.554
3.792,6.010,88.575
3.833,6.011,88.555
3.875,6.010,88.549
3.958,6.010,88.575
4.000,6.010,88.509
4.042,6.009,88.491
4.083,6.012,88.471
4.125,6.009,88.496
4.167,6.010,88.469
4.208,6.010,88.506
4.250,6.010,88.509
4.292,6.010,88.519
4.375,6.012,88.550
4.417,6.011,88.542
4.458,6.013,88.537
4.500,6.014,88.554
4.542,6.014,88.552
4.583,6.014,88.581
4.625,6.014,88.549
4.667,6.013,88.486
4.708,6.012,88.460
4.750,6.012,88.373
4.792,6.011,88.402
4.833,6.011,88.499
4.875,6.011,88.488
4.958,6.010,88.431
5.000,6.010,88.433
5.042,6.010,88.404
5.083,6.011,88.382
5.125,6.011,88.378
5.167,6.011,88.400
5.208,6.010,88.408
5.250,6.011,88.422
5.292,6.011,88.447
5.375,6.012,88.491
5.417,6.012,88.506
5.458,6.013,88.539
5.500,6.014,88.544
5.542,6.011,88.570
5.583,6.013,88.582
5.625,6.013,88.527
5.667,6.012,88.478
5.708,6.012,88.473
5.750,6.012,88.517
5.792,6.011,88.508
5.833,6.011,88.491
5.875,6.012,88.494
5.958,6.013,88.491
