CD,FI3312A,FI3312B
6.011,28.951,31.324
6.011,29.264,31.376
6.010,29.071,31.471
6.011,28.901,31.488
6.010,29.470,31.255
6.010,28.899,31.488
6.009,29.830,31.422
6.010,29.386,31.237
6.012,28.743,31.218
6.011,29.800,31.945
6.011,29.270,31.809
6.012,29.961,31.762
6.012,29.879,31.659
6.012,29.725,31.858
6.013,29.813,31.651
6.013,29.557,31.742
6.012,29.290,31.712
6.012,29.925,31.818
6.010,29.241,31.740
6.010,29.681,31.765
6.010,29.142,31.715
6.010,29.298,31.897
6.011,29.059,31.589
6.011,29.117,31.553
6.013,29.427,31.693
6.010,29.546,31.426
6.013,29.228,31.669
6.011,29.797,31.628
6.011,29.202,31.619
6.010,29.889,31.618
6.009,30.111,31.623
6.011,29.567,31.794
6.011,30.072,31.575
6.011,29.515,31.719
6.011,29.994,31.522
6.012,29.883,31.464
6.012,30.079,31.625
6.011,29.927,31.625
6.011,30.014,31.683
6.011,29.860,31.689
6.010,29.207,31.854
6.011,30.153,31.720
6.010,29.336,31.732
6.011,29.938,31.471
6.011,29.709,31.518
6.011,29.848,31.652
6.012,29.865,31.480
6.010,29.822,31.757
6.010,29.350,31.809
6.011,29.032,31.636
6.010,29.507,31.816
6.010,29.250,31.747
6.009,29.188,31.567
6.010,29.134,31.706
6.010,30.097,31.798
6.012,29.530,31.741
6.011,29.899,31.708
5.060,29.387,31.815
3.677,19.479,31.181
4.046,23.984,31.319
6.012,28.577,31.586
6.011,28.484,31.510
6.010,28.446,31.503
6.011,28.329,31.678
6.010,27.753,31.552
6.010,28.433,31.608
6.010,28.556,31.651
6.009,28.170,31.415
6.012,28.441,31.667
6.009,28.648,31.483
6.010,28.739,31.502
6.010,28.685,31.542
6.010,28.684,31.374
6.010,28.042,31.452
6.012,28.647,31.537
6.011,28.417,31.405
6.013,28.206,31.685
6.014,28.456,31.623
6.014,28.625,31.786
6.014,28.144,31.516
6.014,28.357,31.622
6.013,28.299,31.644
6.012,28.677,31.869
6.012,28.317,31.703
6.011,28.421,31.511
6.011,28.425,31.615
6.011,28.584,31.748
6.010,28.543,31.415
6.010,28.699,31.573
6.010,28.726,31.570
6.011,28.474,31.516
6.011,28.203,31.812
6.011,28.749,31.553
6.010,28.584,31.512
6.011,28.536,31.521
6.011,28.668,31.672
6.012,28.322,31.910
6.012,28.105,31.575
6.013,28.082,31.492
6.014,28.614,31.631
6.011,28.229,31.568
6.013,28.162,31.677
6.013,28.717,31.682
6.012,28.133,31.631
6.012,28.385,31.604
6.012,28.042,31.586
6.011,28.329,31.632
6.011,28.327,31.889
6.012,28.382,31.796
6.013,28.440,31.860
6.013,28.840,31.910
6.012,28.451,31.620
6.012,28.558,31.726
6.013,28.407,31.512
6.010,28.575,31.777
6.012,28.434,31.565
6.013,28.526,31.723
6.012,27.914,31.618
6.013,28.344,31.761
6.013,28.152,31.778
6.013,28.672,31.778
6.014,28.268,31.614
6.012,28.547,31.534
6.014,28.533,31.539
6.015,28.676,31.638
6.014,28.669,31.428
6.014,28.709,31.459
6.013,28.440,31.645
6.014,28.378,31.656
6.015,27.937,31.651
6.014,28.757,31.393
6.012,28.627,31.654
6.014,28.269,31.402
6.012,28.679,31.559
6.011,28.002,31.593
6.011,28.409,31.742
6.012,28.631,31.809
6.011,28.049,31.598
6.012,28.019,31.854
6.011,28.472,31.638
4.293,21.429,31.593
4.261,21.012,31.283
4.260,21.204,31.373
4.261,20.972,31.301
4.261,20.943,31.219
4.260,21.051,31.054
4.262,21.199,31.101
4.261,21.199,30.986
4.260,21.132,31.254
4.260,21.202,30.869
4.260,20.859,31.298
4.260,21.158,31.353
4.260,20.921,31.068
6.011,29.296,31.746
6.012,29.263,31.697
6.011,29.439,31.422
6.011,29.432,31.336
6.009,29.368,31.577
6.010,29.432,31.352
6.009,29.070,31.435
6.009,29.342,31.384
6.011,29.524,31.461
6.010,29.266,31.600
6.010,29.445,31.470
6.011,29.362,31.448
6.011,29.362,31.590
6.011,29.376,31.705
6.012,29.405,31.464
6.012,29.501,31.716
6.012,29.420,31.585
6.011,29.432,31.599
6.011,29.492,31.573
6.011,29.440,31.747
6.011,29.367,31.801
6.011,29.387,31.623
