CD,FI3312A,FI3312B,TI3302A
6.011,28.951,31.324,88.364
6.011,29.264,31.376,88.354
6.010,29.071,31.471,88.328
6.011,28.901,31.488,88.278
6.010,29.470,31.255,88.282
6.010,28.899,31.488,88.299
6.009,29.830,31.422,88.306
6.010,29.386,31.237,88.346
6.012,28.743,31.218,88.393
6.011,29.800,31.945,88.373
6.011,29.270,31.809,88.357
6.012,29.961,31.762,88.421
6.012,29.879,31.659,88.439
6.012,29.725,31.858,88.431
6.013,29.813,31.651,88.396
6.013,29.557,31.742,88.361
6.012,29.290,31.712,88.294
6.012,29.925,31.818,88.271
6.010,29.241,31.740,88.275
6.010,29.681,31.765,88.288
6.010,29.142,31.715,88.255
6.010,29.298,31.897,88.294
6.011,29.059,31.589,88.228
6.011,29.117,31.553,88.225
6.013,29.427,31.693,88.252
6.010,29.546,31.426,88.245
6.013,29.228,31.669,88.274
6.011,29.797,31.628,88.270
6.011,29.202,31.619,88.224
6.010,29.889,31.618,88.310
6.009,30.111,31.623,88.358
6.011,29.567,31.794,88.386
6.011,30.072,31.575,88.397
6.011,29.515,31.719,88.443
6.011,29.994,31.522,88.431
6.012,29.883,31.464,88.354
6.012,30.079,31.625,88.307
6.011,29.927,31.625,88.315
6.011,30.014,31.683,88.327
6.011,29.860,31.689,88.321
6.010,29.207,31.854,88.318
6.011,30.153,31.720,88.286
6.010,29.336,31.732,88.277
6.011,29.938,31.471,88.314
6.011,29.709,31.518,88.315
6.011,29.848,31.652,88.331
6.012,29.865,31.480,88.229
6.010,29.822,31.757,88.266
6.010,29.350,31.809,88.249
6.011,29.032,31.636,88.242
6.010,29.507,31.816,88.280
6.010,29.250,31.747,88.326
6.009,29.188,31.567,88.341
6.010,29.134,31.706,88.359
6.010,30.097,31.798,88.419
6.012,29.530,31.741,88.426
6.011,29.899,31.708,88.445
5.060,29.387,31.815,88.065
3.677,19.479,31.181,85.175
4.046,23.984,31.319,84.885
6.012,28.577,31.586,88.300
6.011,28.484,31.510,88.554
6.010,28.446,31.503,88.575
6.011,28.329,31.678,88.555
6.010,27.753,31.552,88.549
6.010,28.433,31.608,88.575
6.010,28.556,31.651,88.509
6.009,28.170,31.415,88.491
6.012,28.441,31.667,88.471
6.009,28.648,31.483,88.496
6.010,28.739,31.502,88.469
6.010,28.685,31.542,88.506
6.010,28.684,31.374,88.509
6.010,28.042,31.452,88.519
6.012,28.647,31.537,88.550
6.011,28.417,31.405,88.542
6.013,28.206,31.685,88.537
6.014,28.456,31.623,88.554
6.014,28.625,31.786,88.552
6.014,28.144,31.516,88.581
6.014,28.357,31.622,88.549
6.013,28.299,31.644,88.486
6.012,28.677,31.869,88.460
6.012,28.317,31.703,88.373
6.011,28.421,31.511,88.402
6.011,28.425,31.615,88.499
6.011,28.584,31.748,88.488
6.010,28.543,31.415,88.431
6.010,28.699,31.573,88.433
6.010,28.726,31.570,88.404
6.011,28.474,31.516,88.382
6.011,28.203,31.812,88.378
6.011,28.749,31.553,88.400
6.010,28.584,31.512,88.408
6.011,28.536,31.521,88.422
6.011,28.668,31.672,88.447
6.012,28.322,31.910,88.491
6.012,28.105,31.575,88.506
6.013,28.082,31.492,88.539
6.014,28.614,31.631,88.544
6.011,28.229,31.568,88.570
6.013,28.162,31.677,88.582
6.013,28.717,31.682,88.527
6.012,28.133,31.631,88.478
6.012,28.385,31.604,88.473
6.012,28.042,31.586,88.517
6.011,28.329,31.632,88.508
6.011,28.327,31.889,88.491
6.012,28.382,31.796,88.494
6.013,28.440,31.860,88.491
6.013,28.840,31.910,88.475
6.012,28.451,31.620,88.437
6.012,28.558,31.726,88.440
6.013,28.407,31.512,88.435
6.010,28.575,31.777,88.446
6.012,28.434,31.565,88.421
6.013,28.526,31.723,88.446
6.012,27.914,31.618,88.479
6.013,28.344,31.761,88.536
6.013,28.152,31.778,88.554
6.013,28.672,31.778,88.541
6.014,28.268,31.614,88.551
6.012,28.547,31.534,88.589
6.014,28.533,31.539,88.592
6.015,28.676,31.638,88.562
6.014,28.669,31.428,88.515
6.014,28.709,31.459,88.436
6.013,28.440,31.645,88.435
6.014,28.378,31.656,88.450
6.015,27.937,31.651,88.495
6.014,28.757,31.393,88.487
6.012,28.627,31.654,88.511
6.014,28.269,31.402,88.496
6.012,28.679,31.559,88.469
6.011,28.002,31.593,88.476
6.011,28.409,31.742,88.466
6.012,28.631,31.809,88.489
6.011,28.049,31.598,88.454
6.012,28.019,31.854,88.464
6.011,28.472,31.638,88.451
4.293,21.429,31.593,86.606
4.261,21.012,31.283,86.421
4.260,21.204,31.373,86.438
4.261,20.972,31.301,86.457
4.261,20.943,31.219,86.450
4.260,21.051,31.054,86.450
4.262,21.199,31.101,86.403
4.261,21.199,30.986,86.408
4.260,21.132,31.254,86.383
4.260,21.202,30.869,86.349
4.260,20.859,31.298,86.334
4.260,21.158,31.353,86.344
4.260,20.921,31.068,86.364
6.011,29.296,31.746,88.273
6.012,29.263,31.697,88.269
6.011,29.439,31.422,88.109
6.011,29.432,31.336,88.213
6.009,29.368,31.577,88.314
6.010,29.432,31.352,88.326
6.009,29.070,31.435,88.318
6.009,29.342,31.384,88.384
6.011,29.524,31.461,88.348
6.010,29.266,31.600,88.326
6.010,29.445,31.470,88.373
6.011,29.362,31.448,88.368
6.011,29.362,31.590,88.355
6.011,29.376,31.705,88.353
6.012,29.405,31.464,88.357
6.012,29.501,31.716,88.353
6.012,29.420,31.585,88.383
6.011,29.432,31.599,88.346
6.011,29.492,31.573,88.363
6.011,29.440,31.747,88.345
6.011,29.367,31.801,88.653
6.011,29.387,31.623,88.645
6.014,29.651,31.846,88.756
6.010,29.713,31.758,88.716
6.011,29.678,31.768,88.729
6.011,29.071,31.613,88.717
6.014,29.342,31.519,88.709
6.012,29.572,31.440,88.699
6.012,29.480,31.268,88.713
6.011,29.570,31.447,88.748
6.011,29.608,31.734,88.740
6.012,29.546,31.605,88.710
6.013,29.434,31.574,88.705
6.014,29.722,31.756,88.758
6.013,29.646,31.926,88.762
6.013,29.686,31.480,88.736
6.012,29.553,31.363,88.752
6.013,29.561,31.534,88.735
6.013,29.594,31.621,88.701
6.013,29.489,31.559,88.731
6.012,29.687,31.637,88.708
6.011,29.799,31.668,88.683
6.011,29.747,31.545,88.718
6.011,29.646,31.702,88.698
6.011,29.567,31.612,88.679
6.009,29.634,31.653,88.690
6.010,29.689,31.676,88.673
6.012,29.766,31.835,88.688
6.011,29.016,31.698,88.673
6.010,29.659,31.576,88.659
6.013,29.651,31.587,88.662
6.011,29.542,31.648,88.659
6.011,29.754,31.417,88.680
6.012,29.660,31.740,88.754
6.012,29.614,31.834,88.791
6.012,29.651,31.708,88.751
6.012,29.629,31.578,88.807
6.012,29.706,31.606,88.746
6.013,29.688,31.493,88.758
6.013,29.768,31.628,88.700
6.013,29.371,31.510,88.691
6.012,29.794,31.767,88.700
6.011,29.729,31.961,88.730
6.012,29.739,31.677,88.729
6.010,29.609,31.665,88.724
6.011,29.779,31.902,88.730
6.010,29.855,31.607,88.704
6.010,29.452,31.715,88.716
6.009,29.569,31.586,88.710
6.011,29.593,31.798,88.690
6.010,29.628,31.618,88.694
6.011,29.589,31.640,88.674
6.011,29.603,31.376,88.656
6.011,29.475,31.473,88.687
6.011,29.611,31.665,88.701
6.009,29.788,31.415,88.725
6.012,29.575,31.661,88.765
6.013,29.811,31.632,88.774
6.012,29.771,31.707,88.799
6.012,29.858,31.785,88.793
6.013,29.653,31.538,88.740
6.013,29.628,31.879,88.693
6.012,29.581,31.652,88.672
6.013,29.923,31.695,88.701
6.012,29.814,31.622,88.683
6.012,29.946,31.648,88.691
6.011,29.757,31.673,88.720
6.011,29.159,31.625,88.760
6.013,29.740,31.826,88.742
6.010,29.676,31.757,88.712
6.010,29.733,31.734,88.700
6.011,29.712,31.676,88.729
6.010,29.706,31.539,88.725
6.012,29.393,31.502,88.696
6.011,29.062,31.638,88.695
6.010,29.618,31.541,88.715
6.011,29.589,31.630,88.728
6.010,29.627,31.560,88.784
6.013,29.661,32.056,88.809
6.013,29.770,31.377,88.825
6.013,29.732,31.794,88.835
6.012,29.698,31.629,88.825
6.014,29.836,31.716,88.809
6.014,29.826,31.750,88.766
6.014,29.826,31.419,88.684
6.013,29.792,31.796,88.651
6.014,29.900,31.516,88.700
6.012,29.660,31.561,88.735
6.012,29.830,31.595,88.795
6.011,29.721,31.862,88.775
6.012,29.740,31.666,88.757
6.012,29.673,31.512,88.732
6.011,29.550,31.699,88.727
6.012,29.689,31.623,88.703
6.015,29.792,31.855,88.727
6.013,29.020,31.800,88.726
6.011,29.716,31.711,88.728
6.013,29.441,31.787,88.734
6.012,29.691,31.510,88.736
6.013,29.687,31.754,88.775
6.013,29.685,31.517,88.786
6.014,29.417,31.762,88.842
