CD,FI3312A,TI3302A
6.011,28.951,88.364
6.011,29.264,88.354
6.010,29.071,88.328
6.011,28.901,88.278
6.010,29.470,88.282
6.010,28.899,88.299
6.009,29.830,88.306
6.010,29.386,88.346
6.012,28.743,88.393
6.011,29.800,88.373
6.011,29.270,88.357
6.012,29.961,88.421
6.012,29.879,88.439
6.012,29.725,88.431
6.013,29.813,88.396
6.013,29.557,88.361
6.012,29.290,88.294
6.012,29.925,88.271
6.010,29.241,88.275
6.010,29.681,88.288
6.010,29.142,88.255
6.010,29.298,88.294
6.011,29.059,88.228
6.011,29.117,88.225
6.013,29.427,88.252
6.010,29.546,88.245
6.013,29.228,88.274
6.011,29.797,88.270
6.011,29.202,88.224
6.010,29.889,88.310
6.009,30.111,88.358
6.011,29.567,88.386
6.011,30.072,88.397
6.011,29.515,88.443
6.011,29.994,88.431
6.012,29.883,88.354
6.012,30.079,88.307
6.011,29.927,88.315
6.011,30.014,88.327
6.011,29.860,88.321
6.010,29.207,88.318
6.011,30.153,88.286
6.010,29.336,88.277
6.011,29.938,88.314
6.011,29.709,88.315
6.011,29.848,88.331
6.012,29.865,88.229
6.010,29.822,88.266
6.010,29.350,88.249
6.011,29.032,88.242
6.010,29.507,88.280
6.010,29.250,88.326
6.009,29.188,88.341
6.010,29.134,88.359
6.010,30.097,88.419
6.012,29.530,88.426
6.011,29.899,88.445
5.060,29.387,88.065
3.677,19.479,85.175
4.046,23.984,84.885
6.012,28.577,88.300
6.011,28.484,88.554
6.010,28.446,88.575
6.011,28.329,88.555
6.010,27.753,88.549
6.010,28.433,88.575
6.010,28.556,88.509
6.009,28.170,88.491
6.012,28.441,88.471
6.009,28.648,88.496
6.010,28.739,88.469
6.010,28.685,88.506
6.010,28.684,88.509
6.010,28.042,88.519
6.012,28.647,88.550
6.011,28.417,88.542
6.013,28.206,88.537
6.014,28.456,88.554
6.014,28.625,88.552
6.014,28.144,88.581
6.014,28.357,88.549
6.013,28.299,88.486
6.012,28.677,88.460
6.012,28.317,88.373
6.011,28.421,88.402
6.011,28.425,88.499
6.011,28.584,88.488
6.010,28.543,88.431
6.010,28.699,88.433
6.010,28.726,88.404
6.011,28.474,88.382
6.011,28.203,88.378
6.011,28.749,88.400
6.010,28.584,88.408
6.011,28.536,88.422
6.011,28.668,88.447
6.012,28.322,88.491
6.012,28.105,88.506
6.013,28.082,88.539
6.014,28.614,88.544
6.011,28.229,88.570
6.013,28.162,88.582
6.013,28.717,88.527
6.012,28.133,88.478
6.012,28.385,88.473
6.012,28.042,88.517
6.011,28.329,88.508
6.011,28.327,88.491
6.012,28.382,88.494
6.013,28.440,88.491
6.013,28.840,88.475
6.012,28.451,88.437
6.012,28.558,88.440
6.013,28.407,88.435
6.010,28.575,88.446
6.012,28.434,88.421
6.013,28.526,88.446
6.012,27.914,88.479
6.013,28.344,88.536
6.013,28.152,88.554
6.013,28.672,88.541
6.014,28.268,88.551
6.012,28.547,88.589
6.014,28.533,88.592
6.015,28.676,88.562
6.014,28.669,88.515
6.014,28.709,88.436
6.013,28.440,88.435
6.014,28.378,88.450
6.015,27.937,88.495
6.014,28.757,88.487
6.012,28.627,88.511
6.014,28.269,88.496
6.012,28.679,88.469
6.011,28.002,88.476
6.011,28.409,88.466
6.012,28.631,88.489
6.011,28.049,88.454
6.012,28.019,88.464
6.011,28.472,88.451
4.293,21.429,86.606
4.261,21.012,86.421
4.260,21.204,86.438
4.261,20.972,86.457
4.261,20.943,86.450
4.260,21.051,86.450
4.262,21.199,86.403
4.261,21.199,86.408
4.260,21.132,86.383
4.260,21.202,86.349
4.260,20.859,86.334
4.260,21.158,86.344
4.260,20.921,86.364
6.011,29.296,88.273
6.012,29.263,88.269
6.011,29.439,88.109
6.011,29.432,88.213
6.009,29.368,88.314
6.010,29.432,88.326
6.009,29.070,88.318
6.009,29.342,88.384
6.011,29.524,88.348
6.010,29.266,88.326
