CD,FI3312B,TI3302A
6.011,31.324,88.364
6.011,31.376,88.354
6.010,31.471,88.328
6.011,31.488,88.278
6.010,31.255,88.282
6.010,31.488,88.299
6.009,31.422,88.306
6.010,31.237,88.346
6.012,31.218,88.393
6.011,31.945,88.373
6.011,31.809,88.357
6.012,31.762,88.421
6.012,31.659,88.439
6.012,31.858,88.431
6.013,31.651,88.396
6.013,31.742,88.361
6.012,31.712,88.294
6.012,31.818,88.271
6.010,31.740,88.275
6.010,31.765,88.288
6.010,31.715,88.255
6.010,31.897,88.294
6.011,31.589,88.228
6.011,31.553,88.225
6.013,31.693,88.252
6.010,31.426,88.245
6.013,31.669,88.274
6.011,31.628,88.270
6.011,31.619,88.224
6.010,31.618,88.310
6.009,31.623,88.358
6.011,31.794,88.386
6.011,31.575,88.397
6.011,31.719,88.443
6.011,31.522,88.431
6.012,31.464,88.354
6.012,31.625,88.307
6.011,31.625,88.315
6.011,31.683,88.327
6.011,31.689,88.321
6.010,31.854,88.318
6.011,31.720,88.286
6.010,31.732,88.277
6.011,31.471,88.314
6.011,31.518,88.315
6.011,31.652,88.331
6.012,31.480,88.229
6.010,31.757,88.266
6.010,31.809,88.249
6.011,31.636,88.242
6.010,31.816,88.280
6.010,31.747,88.326
6.009,31.567,88.341
6.010,31.706,88.359
6.010,31.798,88.419
6.012,31.741,88.426
6.011,31.708,88.445
5.060,31.815,88.065
3.677,31.181,85.175
4.046,31.319,84.885
6.012,31.586,88.300
6.011,31.510,88.554
6.010,31.503,88.575
6.011,31.678,88.555
6.010,31.552,88.549
6.010,31.608,88.575
6.010,31.651,88.509
6.009,31.415,88.491
6.012,31.667,88.471
6.009,31.483,88.496
6.010,31.502,88.469
6.010,31.542,88.506
6.010,31.374,88.509
6.010,31.452,88.519
6.012,31.537,88.550
6.011,31.405,88.542
6.013,31.685,88.537
6.014,31.623,88.554
6.014,31.786,88.552
6.014,31.516,88.581
6.014,31.622,88.549
6.013,31.644,88.486
6.012,31.869,88.460
6.012,31.703,88.373
6.011,31.511,88.402
6.011,31.615,88.499
6.011,31.748,88.488
6.010,31.415,88.431
6.010,31.573,88.433
6.010,31.570,88.404
6.011,31.516,88.382
6.011,31.812,88.378
6.011,31.553,88.400
6.010,31.512,88.408
6.011,31.521,88.422
6.011,31.672,88.447
6.012,31.910,88.491
6.012,31.575,88.506
6.013,31.492,88.539
6.014,31.631,88.544
6.011,31.568,88.570
6.013,31.677,88.582
6.013,31.682,88.527
6.012,31.631,88.478
6.012,31.604,88.473
6.012,31.586,88.517
6.011,31.632,88.508
6.011,31.889,88.491
6.012,31.796,88.494
6.013,31.860,88.491
6.013,31.910,88.475
6.012,31.620,88.437
6.012,31.726,88.440
6.013,31.512,88.435
6.010,31.777,88.446
6.012,31.565,88.421
6.013,31.723,88.446
6.012,31.618,88.479
6.013,31.761,88.536
6.013,31.778,88.554
6.013,31.778,88.541
6.014,31.614,88.551
6.012,31.534,88.589
6.014,31.539,88.592
6.015,31.638,88.562
6.014,31.428,88.515
6.014,31.459,88.436
6.013,31.645,88.435
6.014,31.656,88.450
6.015,31.651,88.495
6.014,31.393,88.487
6.012,31.654,88.511
6.014,31.402,88.496
6.012,31.559,88.469
6.011,31.593,88.476
6.011,31.742,88.466
6.012,31.809,88.489
6.011,31.598,88.454
6.012,31.854,88.464
6.011,31.638,88.451
4.293,31.593,86.606
4.261,31.283,86.421
4.260,31.373,86.438
4.261,31.301,86.457
4.261,31.219,86.450
4.260,31.054,86.450
4.262,31.101,86.403
4.261,30.986,86.408
4.260,31.254,86.383
4.260,30.869,86.349
4.260,31.298,86.334
4.260,31.353,86.344
4.260,31.068,86.364
6.011,31.746,88.273
6.012,31.697,88.269
6.011,31.422,88.109
6.011,31.336,88.213
6.009,31.577,88.314
6.010,31.352,88.326
6.009,31.435,88.318
6.009,31.384,88.384
6.011,31.461,88.348
6.010,31.600,88.326
6.010,31.470,88.373
6.011,31.448,88.368
6.011,31.590,88.355
6.011,31.705,88.353
6.012,31.464,88.357
6.012,31.716,88.353
6.012,31.585,88.383
6.011,31.599,88.346
6.011,31.573,88.363
6.011,31.747,88.345
6.011,31.801,88.653
6.011,31.623,88.645
6.014,31.846,88.756
6.010,31.758,88.716
6.011,31.768,88.729
6.011,31.613,88.717
6.014,31.519,88.709
6.012,31.440,88.699
6.012,31.268,88.713
6.011,31.447,88.748
6.011,31.734,88.740
6.012,31.605,88.710
6.013,31.574,88.705
6.014,31.756,88.758
6.013,31.926,88.762
6.013,31.480,88.736
6.012,31.363,88.752
6.013,31.534,88.735
6.013,31.621,88.701
6.013,31.559,88.731
6.012,31.637,88.708
6.011,31.668,88.683
6.011,31.545,88.718
6.011,31.702,88.698
6.011,31.612,88.679
6.009,31.653,88.690
6.010,31.676,88.673
6.012,31.835,88.688
6.011,31.698,88.673
6.010,31.576,88.659
6.013,31.587,88.662
6.011,31.648,88.659
6.011,31.417,88.680
6.012,31.740,88.754
6.012,31.834,88.791
6.012,31.708,88.751
6.012,31.578,88.807
6.012,31.606,88.746
6.013,31.493,88.758
6.013,31.628,88.700
6.013,31.510,88.691
6.012,31.767,88.700
6.011,31.961,88.730
6.012,31.677,88.729
6.010,31.665,88.724
6.011,31.902,88.730
6.010,31.607,88.704
6.010,31.715,88.716
6.009,31.586,88.710
6.011,31.798,88.690
6.010,31.618,88.694
6.011,31.640,88.674
6.011,31.376,88.656
6.011,31.473,88.687
6.011,31.665,88.701
6.009,31.415,88.725
6.012,31.661,88.765
6.013,31.632,88.774
6.012,31.707,88.799
6.012,31.785,88.793
6.013,31.538,88.740
6.013,31.879,88.693
6.012,31.652,88.672
6.013,31.695,88.701
6.012,31.622,88.683
6.012,31.648,88.691
6.011,31.673,88.720
6.011,31.625,88.760
6.013,31.826,88.742
6.010,31.757,88.712
6.010,31.734,88.700
6.011,31.676,88.729
6.010,31.539,88.725
6.012,31.502,88.696
6.011,31.638,88.695
6.010,31.541,88.715
6.011,31.630,88.728
6.010,31.560,88.784
6.013,32.056,88.809
6.013,31.377,88.825
6.013,31.794,88.835
6.012,31.629,88.825
6.014,31.716,88.809
6.014,31.750,88.766
6.014,31.419,88.684
6.013,31.796,88.651
6.014,31.516,88.700
6.012,31.561,88.735
6.012,31.595,88.795
6.011,31.862,88.775
6.012,31.666,88.757
6.012,31.512,88.732
6.011,31.699,88.727
6.012,31.623,88.703
6.015,31.855,88.727
6.013,31.800,88.726
6.011,31.711,88.728
6.013,31.787,88.734
6.012,31.510,88.736
6.013,31.754,88.775
6.013,31.517,88.786
6.014,31.762,88.842
6.014,31.622,88.841
6.015,31.731,88.829
6.015,31.542,88.779
6.013,31.638,88.708
6.014,31.756,88.672
6.013,31.650,88.660
6.013,31.722,88.714
6.011,31.724,88.737
6.010,31.561,88.688
6.012,31.511,88.717
6.012,31.826,88.700
6.011,31.477,88.737
6.012,31.484,88.704
6.013,31.592,88.731
6.014,31.547,88.710
6.013,31.558,88.722
6.013,31.583,88.717
6.013,31.622,88.758
6.014,31.636,88.764
6.013,31.702,88.814
5.982,31.648,88.765
6.013,31.639,88.838
6.013,31.740,88.853
6.014,31.757,88.847
6.012,31.496,88.829
6.014,31.637,88.794
6.013,31.632,88.786
6.013,31.548,88.699
6.012,31.755,88.662
6.013,31.343,88.693
6.012,31.608,88.759
6.012,31.716,88.709
6.014,31.446,88.720
6.011,31.408,88.739
6.011,31.823,88.781
6.011,31.686,88.756
6.011,31.626,88.744
6.011,31.700,88.727
6.010,31.475,88.748
6.010,31.603,88.751
6.013,31.644,88.731
6.014,31.725,88.718
6.014,31.956,88.750
6.013,31.675,88.775
6.013,31.619,88.793
6.014,31.552,88.839
6.015,31.662,88.828
6.015,31.495,88.735
6.014,31.598,88.692
6.014,31.741,88.567
6.014,31.742,88.581
6.012,31.733,88.633
6.014,31.654,88.714
6.013,31.646,88.706
6.013,31.784,88.631
6.012,31.718,88.645
6.013,31.703,88.681
6.012,31.464,88.619
6.011,31.439,88.635
6.011,31.627,88.627
6.014,31.613,88.626
6.013,31.593,88.626
6.011,31.506,88.671
6.012,31.752,88.732
6.013,31.532,88.783
6.014,31.480,88.762
6.014,31.691,88.752
6.014,31.287,88.739
6.014,31.506,88.765
6.013,31.686,88.737
6.015,31.679,88.768
6.014,31.584,88.710
6.014,31.815,88.705
6.013,31.464,88.694
6.012,31.743,88.719
6.013,31.884,88.738
6.013,31.698,88.792
6.014,31.753,88.794
6.012,31.672,88.775
6.013,31.688,88.796
6.010,31.723,88.762
6.012,31.661,88.750
6.012,31.582,88.733
6.011,31.899,88.746
6.011,31.902,88.776
6.013,31.681,88.794
6.012,31.550,88.815
6.013,31.369,88.806
6.012,31.274,88.880
6.014,31.578,88.900
6.014,31.651,88.845
6.013,31.654,88.833
6.013,31.456,88.833
6.013,31.562,88.751
6.013,31.733,88.754
6.013,31.590,88.761
6.012,31.704,88.787
6.013,31.673,88.784
6.012,31.405,88.814
6.012,31.661,88.786
6.012,31.468,88.777
6.010,31.455,88.758
6.012,31.575,88.758
6.010,31.709,88.751
6.010,31.731,88.764
6.010,31.610,88.759
6.010,31.494,88.791
6.011,31.647,88.774
6.011,31.572,88.806
6.012,31.622,88.807
6.011,31.535,88.733
6.010,31.502,88.625
6.009,31.410,88.591
6.009,31.447,88.638
6.009,31.821,88.728
6.009,31.817,88.727
6.010,31.790,88.755
6.011,31.548,88.757
6.010,31.799,88.803
6.009,31.503,88.765
6.010,31.488,88.721
6.009,31.495,88.745
6.009,31.472,88.739
6.010,31.434,88.755
6.012,31.181,88.783
6.011,31.691,88.766
6.012,31.570,88.776
6.011,31.690,88.790
6.009,31.539,88.804
6.010,31.465,88.820
6.012,31.484,88.854
6.013,31.512,88.849
6.014,31.727,88.872
6.015,31.422,88.882
6.014,31.612,88.865
6.014,31.702,88.843
6.014,31.489,88.803
6.013,31.395,88.774
6.013,31.610,88.767
6.013,31.327,88.736
6.013,31.506,88.780
6.015,31.459,88.789
6.014,31.557,88.784
6.013,31.644,88.800
6.011,31.700,88.794
6.012,31.873,88.774
6.011,31.603,88.778
6.013,31.910,88.772
6.011,31.817,88.752
6.011,31.741,88.750
6.009,31.736,88.642
