DOL,CD,FI3312A,FI3312B
1.000,6.011,28.951,31.324
1.042,6.011,29.264,31.376
1.083,6.010,29.071,31.471
1.125,6.011,28.901,31.488
1.167,6.010,29.470,31.255
1.208,6.010,28.899,31.488
1.250,6.009,29.830,31.422
1.292,6.010,29.386,31.237
1.375,6.012,28.743,31.218
1.417,6.011,29.800,31.945
1.458,6.011,29.270,31.809
1.500,6.012,29.961,31.762
1.542,6.012,29.879,31.659
1.583,6.012,29.725,31.858
1.625,6.013,29.813,31.651
1.667,6.013,29.557,31.742
1.708,6.012,29.290,31.712
1.750,6.012,29.925,31.818
1.792,6.010,29.241,31.740
1.833,6.010,29.681,31.765
1.875,6.010,29.142,31.715
1.958,6.010,29.298,31.897
2.000,6.011,29.059,31.589
2.042,6.011,29.117,31.553
2.083,6.013,29.427,31.693
2.125,6.010,29.546,31.426
2.167,6.013,29.228,31.669
2.208,6.011,29.797,31.628
2.250,6.011,29.202,31.619
2.292,6.010,29.889,31.618
2.375,6.009,30.111,31.623
2.417,6.011,29.567,31.794
2.458,6.011,30.072,31.575
2.500,6.011,29.515,31.719
2.542,6.011,29.994,31.522
2.583,6.012,29.883,31.464
2.625,6.012,30.079,31.625
2.667,6.011,29.927,31.625
2.708,6.011,30.014,31.683
2.750,6.011,29.860,31.689
2.792,6.010,29.207,31.854
2.833,6.011,30.153,31.720
2.875,6.010,29.336,31.732
2.958,6.011,29.938,31.471
3.000,6.011,29.709,31.518
3.042,6.011,29.848,31.652
3.083,6.012,29.865,31.480
3.125,6.010,29.822,31.757
3.167,6.010,29.350,31.809
3.208,6.011,29.032,31.636
3.250,6.010,29.507,31.816
3.292,6.010,29.250,31.747
3.375,6.009,29.188,31.567
3.417,6.010,29.134,31.706
3.458,6.010,30.097,31.798
3.500,6.012,29.530,31.741
3.542,6.011,29.899,31.708
3.583,5.060,29.387,31.815
3.625,3.677,19.479,31.181
3.667,4.046,23.984,31.319
3.708,6.012,28.577,31.586
3.750,6.011,28.484,31.510
3.792,6.010,28.446,31.503
3.833,6.011,28.329,31.678
3.875,6.010,27.753,31.552
3.958,6.010,28.433,31.608
4.000,6.010,28.556,31.651
4.042,6.009,28.170,31.415
4.083,6.012,28.441,31.667
4.125,6.009,28.648,31.483
4.167,6.010,28.739,31.502
4.208,6.010,28.685,31.542
4.250,6.010,28.684,31.374
4.292,6.010,28.042,31.452
4.375,6.012,28.647,31.537
4.417,6.011,28.417,31.405
4.458,6.013,28.206,31.685
4.500,6.014,28.456,31.623
4.542,6.014,28.625,31.786
4.583,6.014,28.144,31.516
4.625,6.014,28.357,31.622
4.667,6.013,28.299,31.644
