DOL,CD,FI3312A,TI3302A
1.000,6.011,28.951,88.364
1.042,6.011,29.264,88.354
1.083,6.010,29.071,88.328
1.125,6.011,28.901,88.278
1.167,6.010,29.470,88.282
1.208,6.010,28.899,88.299
1.250,6.009,29.830,88.306
1.292,6.010,29.386,88.346
1.375,6.012,28.743,88.393
1.417,6.011,29.800,88.373
1.458,6.011,29.270,88.357
1.500,6.012,29.961,88.421
1.542,6.012,29.879,88.439
1.583,6.012,29.725,88.431
1.625,6.013,29.813,88.396
1.667,6.013,29.557,88.361
1.708,6.012,29.290,88.294
1.750,6.012,29.925,88.271
1.792,6.010,29.241,88.275
1.833,6.010,29.681,88.288
1.875,6.010,29.142,88.255
1.958,6.010,29.298,88.294
2.000,6.011,29.059,88.228
2.042,6.011,29.117,88.225
2.083,6.013,29.427,88.252
2.125,6.010,29.546,88.245
2.167,6.013,29.228,88.274
2.208,6.011,29.797,88.270
2.250,6.011,29.202,88.224
2.292,6.010,29.889,88.310
2.375,6.009,30.111,88.358
2.417,6.011,29.567,88.386
2.458,6.011,30.072,88.397
2.500,6.011,29.515,88.443
2.542,6.011,29.994,88.431
2.583,6.012,29.883,88.354
2.625,6.012,30.079,88.307
2.667,6.011,29.927,88.315
2.708,6.011,30.014,88.327
2.750,6.011,29.860,88.321
2.792,6.010,29.207,88.318
2.833,6.011,30.153,88.286
2.875,6.010,29.336,88.277
2.958,6.011,29.938,88.314
3.000,6.011,29.709,88.315
3.042,6.011,29.848,88.331
3.083,6.012,29.865,88.229
3.125,6.010,29.822,88.266
3.167,6.010,29.350,88.249
3.208,6.011,29.032,88.242
3.250,6.010,29.507,88.280
3.292,6.010,29.250,88.326
3.375,6.009,29.188,88.341
3.417,6.010,29.134,88.359
3.458,6.010,30.097,88.419
3.500,6.012,29.530,88.426
3.542,6.011,29.899,88.445
3.583,5.060,29.387,88.065
3.625,3.677,19.479,85.175
3.667,4.046,23.984,84.885
3.708,6.012,28.577,88.300
3.750,6.011,28.484,88.554
3.792,6.010,28.446,88.575
3.833,6.011,28.329,88.555
3.875,6.010,27.753,88.549
3.958,6.010,28.433,88.575
4.000,6.010,28.556,88.509
4.042,6.009,28.170,88.491
4.083,6.012,28.441,88.471
4.125,6.009,28.648,88.496
4.167,6.010,28.739,88.469
4.208,6.010,28.685,88.506
4.250,6.010,28.684,88.509
4.292,6.010,28.042,88.519
4.375,6.012,28.647,88.550
4.417,6.011,28.417,88.542
4.458,6.013,28.206,88.537
4.500,6.014,28.456,88.554
4.542,6.014,28.625,88.552
4.583,6.014,28.144,88.581
4.625,6.014,28.357,88.549
4.667,6.013,28.299,88.486
4.708,6.012,28.677,88.460
4.750,6.012,28.317,88.373
4.792,6.011,28.421,88.402
4.833,6.011,28.425,88.499
4.875,6.011,28.584,88.488
4.958,6.010,28.543,88.431
5.000,6.010,28.699,88.433
5.042,6.010,28.726,88.404
5.083,6.011,28.474,88.382
5.125,6.011,28.203,88.378
5.167,6.011,28.749,88.400
5.208,6.010,28.584,88.408
5.250,6.011,28.536,88.422
5.292,6.011,28.668,88.447
5.375,6.012,28.322,88.491
5.417,6.012,28.105,88.506
5.458,6.013,28.082,88.539
5.500,6.014,28.614,88.544
5.542,6.011,28.229,88.570
5.583,6.013,28.162,88.582
5.625,6.013,28.717,88.527
5.667,6.012,28.133,88.478
5.708,6.012,28.385,88.473
5.750,6.012,28.042,88.517
5.792,6.011,28.329,88.508
5.833,6.011,28.327,88.491
5.875,6.012,28.382,88.494
5.958,6.013,28.440,88.491
6.000,6.013,28.840,88.475
6.042,6.012,28.451,88.437
6.083,6.012,28.558,88.440
6.125,6.013,28.407,88.435
6.167,6.010,28.575,88.446
6.208,6.012,28.434,88.421
6.250,6.013,28.526,88.446
6.292,6.012,27.914,88.479
6.375,6.013,28.344,88.536
6.417,6.013,28.152,88.554
6.458,6.013,28.672,88.541
6.500,6.014,28.268,88.551
6.542,6.012,28.547,88.589
6.583,6.014,28.533,88.592
6.625,6.015,28.676,88.562
6.667,6.014,28.669,88.515
6.708,6.014,28.709,88.436
6.750,6.013,28.440,88.435
6.792,6.014,28.378,88.450
6.833,6.015,27.937,88.495
6.875,6.014,28.757,88.487
6.958,6.012,28.627,88.511
7.000,6.014,28.269,88.496
7.042,6.012,28.679,88.469
7.083,6.011,28.002,88.476
7.125,6.011,28.409,88.466
7.167,6.012,28.631,88.489
7.208,6.011,28.049,88.454
7.250,6.012,28.019,88.464
7.292,6.011,28.472,88.451
7.375,4.293,21.429,86.606
7.417,4.261,21.012,86.421
7.458,4.260,21.204,86.438
7.500,4.261,20.972,86.457
7.542,4.261,20.943,86.450
7.583,4.260,21.051,86.450
7.625,4.262,21.199,86.403
7.667,4.261,21.199,86.408
7.708,4.260,21.132,86.383
7.750,4.260,21.202,86.349
7.792,4.260,20.859,86.334
7.833,4.260,21.158,86.344
7.875,4.260,20.921,86.364
7.958,6.011,29.296,88.273
8.000,6.012,29.263,88.269
8.042,6.011,29.439,88.109
8.083,6.011,29.432,88.213
8.125,6.009,29.368,88.314
8.167,6.010,29.432,88.326
8.208,6.009,29.070,88.318
8.250,6.009,29.342,88.384
8.292,6.011,29.524,88.348
8.375,6.010,29.266,88.326
8.417,6.010,29.445,88.373
8.458,6.011,29.362,88.368
8.500,6.011,29.362,88.355
8.542,6.011,29.376,88.353
8.583,6.012,29.405,88.357
8.625,6.012,29.501,88.353
8.667,6.012,29.420,88.383
8.708,6.011,29.432,88.346
8.750,6.011,29.492,88.363
8.792,6.011,29.440,88.345
8.833,6.011,29.367,88.653
8.875,6.011,29.387,88.645
8.958,6.014,29.651,88.756
9.000,6.010,29.713,88.716
9.042,6.011,29.678,88.729
9.083,6.011,29.071,88.717
9.125,6.014,29.342,88.709
9.167,6.012,29.572,88.699
9.208,6.012,29.480,88.713
9.250,6.011,29.570,88.748
9.292,6.011,29.608,88.740
9.375,6.012,29.546,88.710
9.417,6.013,29.434,88.705
9.458,6.014,29.722,88.758
9.500,6.013,29.646,88.762
9.542,6.013,29.686,88.736
9.583,6.012,29.553,88.752
9.625,6.013,29.561,88.735
9.667,6.013,29.594,88.701
9.708,6.013,29.489,88.731
9.750,6.012,29.687,88.708
9.792,6.011,29.799,88.683
9.833,6.011,29.747,88.718
9.875,6.011,29.646,88.698
9.958,6.011,29.567,88.679
10.000,6.009,29.634,88.690
10.042,6.010,29.689,88.673
10.083,6.012,29.766,88.688
10.125,6.011,29.016,88.673
10.167,6.010,29.659,88.659
10.208,6.013,29.651,88.662
10.250,6.011,29.542,88.659
10.292,6.011,29.754,88.680
10.375,6.012,29.660,88.754
10.417,6.012,29.614,88.791
10.458,6.012,29.651,88.751
10.500,6.012,29.629,88.807
10.542,6.012,29.706,88.746
10.583,6.013,29.688,88.758
10.625,6.013,29.768,88.700
10.667,6.013,29.371,88.691
10.708,6.012,29.794,88.700
10.750,6.011,29.729,88.730
10.792,6.012,29.739,88.729
10.833,6.010,29.609,88.724
10.875,6.011,29.779,88.730
10.958,6.010,29.855,88.704
11.000,6.010,29.452,88.716
11.042,6.009,29.569,88.710
11.083,6.011,29.593,88.690
11.125,6.010,29.628,88.694
11.167,6.011,29.589,88.674
11.208,6.011,29.603,88.656
11.250,6.011,29.475,88.687
11.292,6.011,29.611,88.701
11.375,6.009,29.788,88.725
11.417,6.012,29.575,88.765
11.458,6.013,29.811,88.774
11.500,6.012,29.771,88.799
11.542,6.012,29.858,88.793
11.583,6.013,29.653,88.740
11.625,6.013,29.628,88.693
11.667,6.012,29.581,88.672
11.708,6.013,29.923,88.701
11.750,6.012,29.814,88.683
11.792,6.012,29.946,88.691
11.833,6.011,29.757,88.720
11.875,6.011,29.159,88.760
11.958,6.013,29.740,88.742
12.000,6.010,29.676,88.712
12.042,6.010,29.733,88.700
12.083,6.011,29.712,88.729
12.125,6.010,29.706,88.725
12.167,6.012,29.393,88.696
12.208,6.011,29.062,88.695
12.250,6.010,29.618,88.715
12.292,6.011,29.589,88.728
12.375,6.010,29.627,88.784
12.417,6.013,29.661,88.809
12.458,6.013,29.770,88.825
12.500,6.013,29.732,88.835
12.542,6.012,29.698,88.825
12.583,6.014,29.836,88.809
12.625,6.014,29.826,88.766
12.667,6.014,29.826,88.684
12.708,6.013,29.792,88.651
12.750,6.014,29.900,88.700
12.792,6.012,29.660,88.735
12.833,6.012,29.830,88.795
12.875,6.011,29.721,88.775
12.958,6.012,29.740,88.757
13.000,6.012,29.673,88.732
13.042,6.011,29.550,88.727
13.083,6.012,29.689,88.703
13.125,6.015,29.792,88.727
13.167,6.013,29.020,88.726
13.208,6.011,29.716,88.728
13.250,6.013,29.441,88.734
13.292,6.012,29.691,88.736
13.375,6.013,29.687,88.775
13.417,6.013,29.685,88.786
13.458,6.014,29.417,88.842
13.500,6.014,29.636,88.841
13.542,6.015,29.220,88.829
13.583,6.015,29.702,88.779
13.625,6.013,29.838,88.708
13.667,6.014,29.437,88.672
13.708,6.013,29.711,88.660
13.750,6.013,29.716,88.714
13.792,6.011,29.872,88.737
13.833,6.010,29.534,88.688
13.875,6.012,29.662,88.717
13.958,6.012,29.779,88.700
14.000,6.011,29.797,88.737
14.042,6.012,29.658,88.704
14.083,6.013,29.796,88.731
14.125,6.014,29.657,88.710
14.167,6.013,28.938,88.722
14.208,6.013,29.738,88.717
14.250,6.013,29.799,88.758
14.292,6.014,29.755,88.764
14.375,6.013,29.377,88.814
14.417,5.982,29.848,88.765
14.458,6.013,29.983,88.838
14.500,6.013,29.619,88.853
14.542,6.014,29.812,88.847
14.583,6.012,29.805,88.829
14.625,6.014,29.460,88.794
14.667,6.013,29.581,88.786
14.708,6.013,29.093,88.699
14.750,6.012,29.074,88.662
14.792,6.013,29.739,88.693
14.833,6.012,29.652,88.759
14.875,6.012,29.318,88.709
14.958,6.014,29.391,88.720
15.000,6.011,29.652,88.739
15.042,6.011,29.854,88.781
15.083,6.011,29.724,88.756
15.125,6.011,29.670,88.744
15.167,6.011,29.902,88.727
15.208,6.010,29.674,88.748
15.250,6.010,29.809,88.751
15.292,6.013,29.853,88.731
15.375,6.014,29.491,88.718
15.417,6.014,29.191,88.750
15.458,6.013,29.838,88.775
15.500,6.013,29.721,88.793
15.542,6.014,29.699,88.839
15.583,6.015,29.632,88.828
15.625,6.015,29.731,88.735
15.667,6.014,29.660,88.692
15.708,6.014,29.831,88.567
15.750,6.014,29.720,88.581
15.792,6.012,29.850,88.633
15.833,6.014,29.896,88.714
15.875,6.013,29.310,88.706
15.958,6.013,29.722,88.631
16.000,6.012,29.623,88.645
16.042,6.013,29.874,88.681
16.083,6.012,29.696,88.619
16.125,6.011,29.819,88.635
16.167,6.011,29.421,88.627
16.208,6.014,28.992,88.626
16.250,6.013,29.603,88.626
16.292,6.011,29.857,88.671
16.375,6.012,29.677,88.732
16.417,6.013,29.820,88.783
16.458,6.014,29.793,88.762
16.500,6.014,29.100,88.752
16.542,6.014,29.802,88.739
16.583,6.014,29.717,88.765
16.625,6.013,29.163,88.737
16.667,6.015,29.245,88.768
16.708,6.014,29.497,88.710
16.750,6.014,29.715,88.705
16.792,6.013,29.701,88.694
16.833,6.012,29.571,88.719
16.875,6.013,29.419,88.738
16.958,6.013,29.356,88.792
17.000,6.014,29.452,88.794
17.042,6.012,29.591,88.775
17.083,6.013,29.549,88.796
17.125,6.010,29.619,88.762
17.167,6.012,28.791,88.750
17.208,6.012,28.755,88.733
17.250,6.011,29.130,88.746
17.292,6.011,29.317,88.776
17.375,6.013,29.526,88.794
17.417,6.012,29.570,88.815
17.458,6.013,29.336,88.806
17.500,6.012,29.337,88.880
17.542,6.014,28.833,88.900
17.583,6.014,29.452,88.845
17.625,6.013,29.428,88.833
17.667,6.013,28.829,88.833
17.708,6.013,29.487,88.751
17.750,6.013,29.581,88.754
17.792,6.013,28.759,88.761
17.833,6.012,29.202,88.787
17.875,6.013,29.785,88.784
17.958,6.012,29.126,88.814
18.000,6.012,29.557,88.786
18.042,6.012,28.791,88.777
18.083,6.010,29.557,88.758
18.125,6.012,29.210,88.758
18.167,6.010,28.844,88.751
18.208,6.010,29.370,88.764
18.250,6.010,29.650,88.759
18.292,6.010,28.880,88.791
18.375,6.011,29.533,88.774
18.417,6.011,29.681,88.806
18.458,6.012,29.297,88.807
18.500,6.011,29.524,88.733
18.542,6.010,29.537,88.625
18.583,6.009,29.551,88.591
18.625,6.009,29.432,88.638
18.667,6.009,29.474,88.728
18.708,6.009,29.807,88.727
18.750,6.010,29.388,88.755
18.792,6.011,29.645,88.757
18.833,6.010,29.413,88.803
