DOL,CD,FI3312B,TI3302A
1.000,6.011,31.324,88.364
1.042,6.011,31.376,88.354
1.083,6.010,31.471,88.328
1.125,6.011,31.488,88.278
1.167,6.010,31.255,88.282
1.208,6.010,31.488,88.299
1.250,6.009,31.422,88.306
1.292,6.010,31.237,88.346
1.375,6.012,31.218,88.393
1.417,6.011,31.945,88.373
1.458,6.011,31.809,88.357
1.500,6.012,31.762,88.421
1.542,6.012,31.659,88.439
1.583,6.012,31.858,88.431
1.625,6.013,31.651,88.396
1.667,6.013,31.742,88.361
1.708,6.012,31.712,88.294
1.750,6.012,31.818,88.271
1.792,6.010,31.740,88.275
1.833,6.010,31.765,88.288
1.875,6.010,31.715,88.255
1.958,6.010,31.897,88.294
2.000,6.011,31.589,88.228
2.042,6.011,31.553,88.225
2.083,6.013,31.693,88.252
2.125,6.010,31.426,88.245
2.167,6.013,31.669,88.274
2.208,6.011,31.628,88.270
2.250,6.011,31.619,88.224
2.292,6.010,31.618,88.310
2.375,6.009,31.623,88.358
2.417,6.011,31.794,88.386
2.458,6.011,31.575,88.397
2.500,6.011,31.719,88.443
2.542,6.011,31.522,88.431
2.583,6.012,31.464,88.354
2.625,6.012,31.625,88.307
2.667,6.011,31.625,88.315
2.708,6.011,31.683,88.327
2.750,6.011,31.689,88.321
2.792,6.010,31.854,88.318
2.833,6.011,31.720,88.286
2.875,6.010,31.732,88.277
2.958,6.011,31.471,88.314
3.000,6.011,31.518,88.315
3.042,6.011,31.652,88.331
3.083,6.012,31.480,88.229
3.125,6.010,31.757,88.266
3.167,6.010,31.809,88.249
3.208,6.011,31.636,88.242
3.250,6.010,31.816,88.280
3.292,6.010,31.747,88.326
3.375,6.009,31.567,88.341
3.417,6.010,31.706,88.359
3.458,6.010,31.798,88.419
3.500,6.012,31.741,88.426
3.542,6.011,31.708,88.445
3.583,5.060,31.815,88.065
3.625,3.677,31.181,85.175
3.667,4.046,31.319,84.885
3.708,6.012,31.586,88.300
3.750,6.011,31.510,88.554
3.792,6.010,31.503,88.575
3.833,6.011,31.678,88.555
3.875,6.010,31.552,88.549
3.958,6.010,31.608,88.575
4.000,6.010,31.651,88.509
4.042,6.009,31.415,88.491
4.083,6.012,31.667,88.471
4.125,6.009,31.483,88.496
4.167,6.010,31.502,88.469
4.208,6.010,31.542,88.506
4.250,6.010,31.374,88.509
4.292,6.010,31.452,88.519
4.375,6.012,31.537,88.550
4.417,6.011,31.405,88.542
4.458,6.013,31.685,88.537
4.500,6.014,31.623,88.554
4.542,6.014,31.786,88.552
4.583,6.014,31.516,88.581
4.625,6.014,31.622,88.549
4.667,6.013,31.644,88.486
4.708,6.012,31.869,88.460
4.750,6.012,31.703,88.373
4.792,6.011,31.511,88.402
4.833,6.011,31.615,88.499
4.875,6.011,31.748,88.488
4.958,6.010,31.415,88.431
5.000,6.010,31.573,88.433
5.042,6.010,31.570,88.404
5.083,6.011,31.516,88.382
5.125,6.011,31.812,88.378
5.167,6.011,31.553,88.400
5.208,6.010,31.512,88.408
5.250,6.011,31.521,88.422
5.292,6.011,31.672,88.447
5.375,6.012,31.910,88.491
5.417,6.012,31.575,88.506
5.458,6.013,31.492,88.539
5.500,6.014,31.631,88.544
5.542,6.011,31.568,88.570
5.583,6.013,31.677,88.582
5.625,6.013,31.682,88.527
5.667,6.012,31.631,88.478
5.708,6.012,31.604,88.473
5.750,6.012,31.586,88.517
5.792,6.011,31.632,88.508
5.833,6.011,31.889,88.491
5.875,6.012,31.796,88.494
5.958,6.013,31.860,88.491
6.000,6.013,31.910,88.475
6.042,6.012,31.620,88.437
6.083,6.012,31.726,88.440
6.125,6.013,31.512,88.435
6.167,6.010,31.777,88.446
6.208,6.012,31.565,88.421
6.250,6.013,31.723,88.446
6.292,6.012,31.618,88.479
6.375,6.013,31.761,88.536
6.417,6.013,31.778,88.554
6.458,6.013,31.778,88.541
6.500,6.014,31.614,88.551
6.542,6.012,31.534,88.589
6.583,6.014,31.539,88.592
6.625,6.015,31.638,88.562
6.667,6.014,31.428,88.515
6.708,6.014,31.459,88.436
6.750,6.013,31.645,88.435
6.792,6.014,31.656,88.450
6.833,6.015,31.651,88.495
6.875,6.014,31.393,88.487
6.958,6.012,31.654,88.511
7.000,6.014,31.402,88.496
7.042,6.012,31.559,88.469
7.083,6.011,31.593,88.476
7.125,6.011,31.742,88.466
7.167,6.012,31.809,88.489
7.208,6.011,31.598,88.454
