CV,DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
3.057,1,6.011,28.951,31.324,88.364,86.681
3.057,1.042,6.011,29.264,31.376,88.354,86.677
3.057,1.083,6.01,29.071,31.471,88.328,86.65
3.057,1.125,6.011,28.901,31.488,88.278,86.537
3.057,1.167,6.01,29.47,31.255,88.282,86.59
3.057,1.208,6.01,28.899,31.488,88.299,86.621
3.057,1.25,6.009,29.83,31.422,88.306,86.553
3.057,1.292,6.01,29.386,31.237,88.346,86.65
3.057,1.375,6.012,28.743,31.218,88.393,86.707
3.063,1.417,6.011,29.8,31.945,88.373,86.709
3.056,1.458,6.011,29.27,31.809,88.357,86.724
3.057,1.5,6.012,29.961,31.762,88.421,86.814
3.058,1.542,6.012,29.879,31.659,88.439,86.897
3.058,1.583,6.012,29.725,31.858,88.431,86.798
3.057,1.625,6.013,29.813,31.651,88.396,86.856
3.057,1.667,6.013,29.557,31.742,88.361,86.77
3.057,1.708,6.012,29.29,31.712,88.294,86.696
3.057,1.75,6.012,29.925,31.818,88.271,86.62
3.057,1.792,6.01,29.241,31.74,88.275,86.513
3.057,1.833,6.01,29.681,31.765,88.288,86.589
3.057,1.875,6.01,29.142,31.715,88.255,86.638
3.057,1.958,6.01,29.298,31.897,88.294,86.612
3.057,2,6.011,29.059,31.589,88.228,86.624
3.058,2.042,6.011,29.117,31.553,88.225,86.559
3.058,2.083,6.013,29.427,31.693,88.252,86.585
3.058,2.125,6.01,29.546,31.426,88.245,86.571
3.058,2.167,6.013,29.228,31.669,88.274,86.567
3.058,2.208,6.011,29.797,31.628,88.27,86.563
3.058,2.25,6.011,29.202,31.619,88.224,86.47
3.058,2.292,6.01,29.889,31.618,88.31,86.581
3.058,2.375,6.009,30.111,31.623,88.358,86.668
3.058,2.417,6.011,29.567,31.794,88.386,86.722
3.058,2.458,6.011,30.072,31.575,88.397,86.801
3.058,2.5,6.011,29.515,31.719,88.443,86.817
3.058,2.542,6.011,29.994,31.522,88.431,86.83
3.057,2.583,6.012,29.883,31.464,88.354,86.799
3.06,2.625,6.012,30.079,31.625,88.307,86.752
3.057,2.667,6.011,29.927,31.625,88.315,86.712
3.058,2.708,6.011,30.014,31.683,88.327,86.691
3.059,2.75,6.011,29.86,31.689,88.321,86.634
3.058,2.792,6.01,29.207,31.854,88.318,86.623
3.057,2.833,6.011,30.153,31.72,88.286,86.603
3.057,2.875,6.01,29.336,31.732,88.277,86.595
3.057,2.958,6.011,29.938,31.471,88.314,86.613
3.057,3,6.011,29.709,31.518,88.315,86.649
3.057,3.042,6.011,29.848,31.652,88.331,86.633
3.057,3.083,6.012,29.865,31.48,88.229,86.572
3.057,3.125,6.01,29.822,31.757,88.266,86.577
3.057,3.167,6.01,29.35,31.809,88.249,86.576
3.057,3.208,6.011,29.032,31.636,88.242,86.56
3.057,3.25,6.01,29.507,31.816,88.28,86.579
3.057,3.292,6.01,29.25,31.747,88.326,86.609
3.057,3.375,6.009,29.188,31.567,88.341,86.705
3.056,3.417,6.01,29.134,31.706,88.359,86.751
3.057,3.458,6.01,30.097,31.798,88.419,86.82
3.057,3.5,6.012,29.53,31.741,88.426,86.852
3.057,3.542,6.011,29.899,31.708,88.445,86.916
2.973,3.583,5.06,29.387,31.815,88.065,86.583
2.848,3.625,3.677,19.479,31.181,85.175,83.793
2.887,3.667,4.046,23.984,31.319,84.885,83.468
3.062,3.708,6.012,28.577,31.586,88.3,86.697
3.06,3.75,6.011,28.484,31.51,88.554,86.934
3.058,3.792,6.01,28.446,31.503,88.575,86.928
3.056,3.833,6.011,28.329,31.678,88.555,86.884
3.056,3.875,6.01,27.753,31.552,88.549,86.902
3.055,3.958,6.01,28.433,31.608,88.575,86.911
3.056,4,6.01,28.556,31.651,88.509,86.812
3.056,4.042,6.009,28.17,31.415,88.491,86.822
3.056,4.083,6.012,28.441,31.667,88.471,86.752
3.056,4.125,6.009,28.648,31.483,88.496,86.78
3.057,4.167,6.01,28.739,31.502,88.469,86.74
3.057,4.208,6.01,28.685,31.542,88.506,86.78
3.057,4.25,6.01,28.684,31.374,88.509,86.829
3.057,4.292,6.01,28.042,31.452,88.519,86.827
3.056,4.375,6.012,28.647,31.537,88.55,86.854
3.056,4.417,6.011,28.417,31.405,88.542,86.851
3.055,4.458,6.013,28.206,31.685,88.537,86.988
3.055,4.5,6.014,28.456,31.623,88.554,86.995
3.056,4.542,6.014,28.625,31.786,88.552,86.951
3.056,4.583,6.014,28.144,31.516,88.581,86.974
3.056,4.625,6.014,28.357,31.622,88.549,87.034
3.056,4.667,6.013,28.299,31.644,88.486,86.946
3.055,4.708,6.012,28.677,31.869,88.46,86.835
3.055,4.75,6.012,28.317,31.703,88.373,86.711
3.055,4.792,6.011,28.421,31.511,88.402,86.667
3.057,4.833,6.011,28.425,31.615,88.499,86.799
3.057,4.875,6.011,28.584,31.748,88.488,86.803
3.055,4.958,6.01,28.543,31.415,88.431,86.782
3.056,5,6.01,28.699,31.573,88.433,86.784
3.056,5.042,6.01,28.726,31.57,88.404,86.705
3.056,5.083,6.011,28.474,31.516,88.382,86.718
3.056,5.125,6.011,28.203,31.812,88.378,86.729
3.056,5.167,6.011,28.749,31.553,88.4,86.72
3.056,5.208,6.01,28.584,31.512,88.408,86.576
3.056,5.25,6.011,28.536,31.521,88.422,86.74
3.055,5.292,6.011,28.668,31.672,88.447,86.759
3.055,5.375,6.012,28.322,31.91,88.491,86.851
3.055,5.417,6.012,28.105,31.575,88.506,86.867
3.055,5.458,6.013,28.082,31.492,88.539,86.914
3.056,5.5,6.014,28.614,31.631,88.544,86.978
3.056,5.542,6.011,28.229,31.568,88.57,86.988
3.056,5.583,6.013,28.162,31.677,88.582,87.024
3.056,5.625,6.013,28.717,31.682,88.527,86.969
3.054,5.667,6.012,28.133,31.631,88.478,86.886
3.056,5.708,6.012,28.385,31.604,88.473,86.855
3.057,5.75,6.012,28.042,31.586,88.517,86.842
3.057,5.792,6.011,28.329,31.632,88.508,86.838
3.056,5.833,6.011,28.327,31.889,88.491,86.826
3.056,5.875,6.012,28.382,31.796,88.494,86.87
3.055,5.958,6.013,28.44,31.86,88.491,86.815
3.056,6,6.013,28.84,31.91,88.475,86.763
3.056,6.042,6.012,28.451,31.62,88.437,86.771
3.056,6.083,6.012,28.558,31.726,88.44,86.759
3.056,6.125,6.013,28.407,31.512,88.435,86.745
3.056,6.167,6.01,28.575,31.777,88.446,86.758
3.056,6.208,6.012,28.434,31.565,88.421,86.728
3.057,6.25,6.013,28.526,31.723,88.446,86.785
3.057,6.292,6.012,27.914,31.618,88.479,86.823
3.057,6.375,6.013,28.344,31.761,88.536,86.888
3.057,6.417,6.013,28.152,31.778,88.554,86.938
3.056,6.458,6.013,28.672,31.778,88.541,86.957
3.056,6.5,6.014,28.268,31.614,88.551,87.008
3.056,6.542,6.012,28.547,31.534,88.589,87.056
3.056,6.583,6.014,28.533,31.539,88.592,87.053
3.057,6.625,6.015,28.676,31.638,88.562,87.003
3.057,6.667,6.014,28.669,31.428,88.515,86.93
3.056,6.708,6.014,28.709,31.459,88.436,86.898
3.056,6.75,6.013,28.44,31.645,88.435,86.771
3.055,6.792,6.014,28.378,31.656,88.45,86.869
3.056,6.833,6.015,27.937,31.651,88.495,86.854
3.056,6.875,6.014,28.757,31.393,88.487,86.872
3.056,6.958,6.012,28.627,31.654,88.511,86.895
3.056,7,6.014,28.269,31.402,88.496,86.867
3.056,7.042,6.012,28.679,31.559,88.469,86.838
3.056,7.083,6.011,28.002,31.593,88.476,86.831
3.056,7.125,6.011,28.409,31.742,88.466,86.843
3.056,7.167,6.012,28.631,31.809,88.489,86.833
3.056,7.208,6.011,28.049,31.598,88.454,86.821
3.056,7.25,6.012,28.019,31.854,88.464,86.814
3.056,7.292,6.011,28.472,31.638,88.451,86.811
2.899,7.375,4.293,21.429,31.593,86.606,85.094
2.898,7.417,4.261,21.012,31.283,86.421,84.931
2.898,7.458,4.26,21.204,31.373,86.438,84.996
2.898,7.5,4.261,20.972,31.301,86.457,85.017
2.898,7.542,4.261,20.943,31.219,86.45,85.013
2.898,7.583,4.26,21.051,31.054,86.45,85.036
2.899,7.625,4.262,21.199,31.101,86.403,84.974
2.899,7.667,4.261,21.199,30.986,86.408,84.913
2.899,7.708,4.26,21.132,31.254,86.383,84.901
