DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
1.000,6.011,28.951,31.324,88.364,86.681
1.042,6.011,29.264,31.376,88.354,86.677
1.083,6.010,29.071,31.471,88.328,86.650
1.125,6.011,28.901,31.488,88.278,86.537
1.167,6.010,29.470,31.255,88.282,86.590
1.208,6.010,28.899,31.488,88.299,86.621
1.250,6.009,29.830,31.422,88.306,86.553
1.292,6.010,29.386,31.237,88.346,86.650
1.375,6.012,28.743,31.218,88.393,86.707
1.417,6.011,29.800,31.945,88.373,86.709
1.458,6.011,29.270,31.809,88.357,86.724
1.500,6.012,29.961,31.762,88.421,86.814
1.542,6.012,29.879,31.659,88.439,86.897
1.583,6.012,29.725,31.858,88.431,86.798
1.625,6.013,29.813,31.651,88.396,86.856
1.667,6.013,29.557,31.742,88.361,86.770
1.708,6.012,29.290,31.712,88.294,86.696
1.750,6.012,29.925,31.818,88.271,86.620
1.792,6.010,29.241,31.740,88.275,86.513
1.833,6.010,29.681,31.765,88.288,86.589
1.875,6.010,29.142,31.715,88.255,86.638
1.958,6.010,29.298,31.897,88.294,86.612
2.000,6.011,29.059,31.589,88.228,86.624
2.042,6.011,29.117,31.553,88.225,86.559
2.083,6.013,29.427,31.693,88.252,86.585
2.125,6.010,29.546,31.426,88.245,86.571
2.167,6.013,29.228,31.669,88.274,86.567
2.208,6.011,29.797,31.628,88.270,86.563
2.250,6.011,29.202,31.619,88.224,86.470
2.292,6.010,29.889,31.618,88.310,86.581
2.375,6.009,30.111,31.623,88.358,86.668
2.417,6.011,29.567,31.794,88.386,86.722
2.458,6.011,30.072,31.575,88.397,86.801
2.500,6.011,29.515,31.719,88.443,86.817
2.542,6.011,29.994,31.522,88.431,86.830
2.583,6.012,29.883,31.464,88.354,86.799
2.625,6.012,30.079,31.625,88.307,86.752
2.667,6.011,29.927,31.625,88.315,86.712
2.708,6.011,30.014,31.683,88.327,86.691
2.750,6.011,29.860,31.689,88.321,86.634
2.792,6.010,29.207,31.854,88.318,86.623
2.833,6.011,30.153,31.720,88.286,86.603
2.875,6.010,29.336,31.732,88.277,86.595
2.958,6.011,29.938,31.471,88.314,86.613
3.000,6.011,29.709,31.518,88.315,86.649
3.042,6.011,29.848,31.652,88.331,86.633
3.083,6.012,29.865,31.480,88.229,86.572
3.125,6.010,29.822,31.757,88.266,86.577
3.167,6.010,29.350,31.809,88.249,86.576
3.208,6.011,29.032,31.636,88.242,86.560
3.250,6.010,29.507,31.816,88.280,86.579
3.292,6.010,29.250,31.747,88.326,86.609
3.375,6.009,29.188,31.567,88.341,86.705
3.417,6.010,29.134,31.706,88.359,86.751
3.458,6.010,30.097,31.798,88.419,86.820
3.500,6.012,29.530,31.741,88.426,86.852
3.542,6.011,29.899,31.708,88.445,86.916
3.583,5.060,29.387,31.815,88.065,86.583
