DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
55.375,6.011,30.024,29.942,89.009,87.524
55.417,6.014,30.137,29.888,89.040,87.563
55.458,6.014,29.300,29.970,89.088,87.566
55.500,6.014,29.674,30.137,89.126,87.601
55.542,6.014,29.358,29.837,89.113,87.626
55.583,6.016,30.147,30.006,89.081,87.521
55.625,6.014,30.159,30.104,89.056,87.510
55.667,6.015,29.370,30.113,88.993,87.427
55.708,6.014,30.269,30.132,88.985,87.417
55.750,6.015,29.871,30.066,88.942,87.426
55.792,6.015,29.548,30.044,88.919,87.379
55.833,6.014,30.158,29.909,88.932,87.346
55.875,6.014,29.328,29.994,88.953,87.365
55.958,6.015,30.131,30.028,88.950,87.361
56.000,6.013,29.833,29.837,88.929,87.353
56.042,6.013,30.141,30.038,88.922,87.313
56.083,6.013,29.857,29.881,88.919,87.307
56.125,6.014,30.056,29.997,88.905,87.313
56.167,6.013,29.727,30.031,88.912,87.311
56.208,6.013,29.751,30.060,88.916,87.326
56.250,6.015,29.966,29.913,88.956,87.368
56.292,6.013,29.902,30.010,88.976,87.413
56.375,6.014,30.355,30.016,88.913,87.482
56.417,6.014,29.727,29.802,88.958,87.478
56.458,6.014,30.304,29.911,89.003,87.548
56.500,6.015,30.115,29.919,89.057,87.567
56.542,6.014,29.546,29.707,89.076,87.592
56.583,6.014,30.084,30.042,89.023,87.520
56.625,6.015,29.478,29.854,89.019,87.486
56.667,6.015,29.930,29.752,88.866,87.436
56.708,6.015,30.561,29.915,88.924,87.425
56.750,6.015,29.817,29.997,88.897,87.399
56.792,6.014,30.413,30.019,88.874,87.382
56.833,6.014,30.462,29.827,88.869,87.344
56.875,6.015,30.020,30.798,88.966,87.429
56.958,6.013,29.532,30.996,88.982,87.429
57.000,6.014,29.401,30.748,88.961,87.405
57.042,6.015,30.183,30.525,88.972,87.335
57.083,6.014,30.167,30.753,88.925,87.324
57.125,6.013,29.604,30.556,88.910,87.301
57.167,6.013,29.443,30.685,88.939,87.280
57.208,6.014,30.160,30.669,88.972,87.383
57.250,6.014,29.892,30.856,88.959,87.372
57.292,6.014,30.119,30.474,88.962,87.335
57.375,6.014,30.416,30.695,88.976,87.482
57.417,6.014,29.509,30.765,88.952,87.434
57.458,6.014,29.570,30.680,88.977,87.529
57.500,6.015,29.924,30.729,89.018,87.563
57.542,6.015,29.626,30.669,89.050,87.561
57.583,6.014,29.536,30.651,89.068,87.535
57.625,6.014,30.359,30.656,89.059,87.508
57.667,6.013,30.256,30.887,89.045,87.515
57.708,6.014,30.053,30.622,89.011,87.452
57.750,6.014,29.434,30.753,88.974,87.414
57.792,6.014,30.306,30.825,88.934,87.375
57.833,6.014,29.465,30.806,88.923,87.301
57.875,6.012,30.205,30.833,88.933,87.378
57.958,6.013,30.221,30.749,88.976,87.401
58.000,6.013,29.897,30.698,88.958,87.393
58.042,6.013,30.066,30.862,88.972,87.377
58.083,6.013,30.125,30.695,88.958,87.374
58.125,6.012,29.750,30.773,88.939,87.353
58.167,6.011,29.848,30.707,88.957,87.336
58.208,6.012,29.591,30.425,88.992,87.366
58.250,6.013,30.190,30.588,88.977,87.318
58.292,6.012,30.107,30.551,88.968,87.383
58.375,6.014,30.262,30.653,88.621,87.065
58.417,6.014,29.357,30.687,88.630,87.141
58.458,6.014,30.109,30.810,88.669,87.183
58.500,6.014,30.121,30.906,88.682,87.174
58.542,6.016,29.440,30.646,88.737,87.227
58.583,6.015,29.766,30.601,88.738,87.222
58.625,6.015,29.487,30.665,88.711,87.176
58.667,6.017,29.787,30.695,88.641,87.045
58.708,6.017,29.516,30.618,88.591,87.050
58.750,6.016,30.173,30.673,88.632,87.074
58.792,6.016,30.088,30.516,88.947,87.363
58.833,6.014,30.024,30.658,88.980,87.409
