DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
109.250,6.015,28.601,31.388,89.173,87.482
109.292,6.013,28.559,31.130,89.144,87.516
109.375,2.454,13.329,30.700,84.226,82.949
109.417,2.455,13.337,30.686,84.001,82.750
109.458,2.454,13.342,30.914,83.960,82.705
109.500,2.455,13.345,30.923,83.940,82.749
109.542,2.454,13.351,30.502,83.975,82.789
109.583,2.454,13.337,30.425,83.958,82.677
109.625,2.454,13.336,30.532,83.956,82.713
109.667,2.454,13.343,30.654,84.002,82.748
109.708,2.453,13.344,30.930,83.973,82.715
109.750,2.453,13.331,30.664,83.941,82.581
109.792,2.453,13.311,30.782,83.965,82.622
109.833,2.453,13.326,30.562,83.976,82.668
109.875,2.454,13.321,30.918,83.949,82.648
109.958,6.013,29.408,31.333,88.829,87.264
110.000,6.013,29.130,31.281,89.238,87.671
110.042,6.015,29.288,31.117,89.220,87.592
110.083,6.015,29.303,30.902,89.250,87.669
110.125,6.014,29.297,31.243,89.215,87.520
110.167,6.015,29.144,31.169,89.276,87.574
110.208,6.014,29.223,30.996,89.237,87.621
110.250,6.014,29.301,31.233,89.267,87.632
110.292,6.016,29.319,31.474,89.102,87.412
110.375,6.015,29.030,31.091,89.295,87.656
110.417,6.016,29.099,31.467,89.344,87.765
110.458,6.014,29.179,31.343,89.337,87.804
110.500,6.016,29.063,31.211,89.394,87.849
110.542,6.017,29.126,31.528,89.329,87.875
110.583,6.018,29.018,31.290,89.231,87.729
110.625,6.017,29.000,31.434,89.289,87.774
110.667,6.019,29.190,31.372,89.333,87.829
110.708,6.017,29.158,31.473,89.343,87.837
110.750,6.018,29.247,31.165,89.304,87.738
110.792,6.016,29.104,31.460,89.324,87.751
110.833,6.016,29.128,31.395,89.321,87.683
110.875,6.015,28.363,31.195,89.308,87.710
110.958,6.017,28.889,31.237,89.291,87.727
111.000,6.014,29.079,31.199,89.315,87.665
111.042,6.014,29.012,31.529,89.325,87.774
111.083,6.012,28.351,31.383,89.315,87.703
111.125,6.015,29.080,31.202,89.333,87.693
111.167,6.013,29.075,31.307,89.358,87.737
111.208,6.012,29.057,31.287,89.358,87.763
111.250,6.013,28.872,31.352,89.306,87.737
111.292,6.014,28.936,31.135,89.388,87.759
111.375,6.014,29.062,31.490,89.426,87.875
111.417,6.015,29.032,30.952,89.391,87.796
111.458,6.016,29.148,31.127,89.468,87.913
