DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
256.667,2.145,13.608,30.019,78.341,77.956
256.708,3.062,18.431,30.166,81.839,81.138
256.750,4.384,29.251,29.769,86.247,85.222
256.792,4.385,28.697,29.826,84.064,83.130
256.833,4.384,28.549,29.799,83.323,82.416
256.875,4.385,28.384,29.775,83.161,82.221
256.958,4.384,28.636,28.904,83.141,82.205
257.000,4.383,28.560,28.867,83.098,82.159
257.042,4.382,28.716,28.809,83.086,82.140
257.083,4.386,28.105,28.598,83.089,82.071
257.125,4.385,28.335,28.616,83.047,82.026
257.167,4.385,28.591,28.569,83.053,82.061
257.208,4.385,28.700,28.483,83.056,82.065
257.250,4.383,28.557,30.193,83.113,82.045
257.292,4.385,28.406,30.722,83.097,82.118
257.375,3.678,18.830,30.512,84.098,83.209
257.417,3.679,18.370,30.490,84.192,83.297
257.458,3.679,18.934,30.519,84.229,83.362
257.500,3.679,18.826,30.335,84.233,83.403
257.542,3.680,18.802,30.484,84.209,83.384
257.583,3.680,18.822,30.307,84.213,83.254
257.625,3.679,18.818,29.759,83.990,83.088
257.667,3.678,18.736,29.762,84.122,83.140
257.708,3.676,18.317,29.718,83.993,82.957
257.750,3.677,18.326,29.577,83.994,82.989
257.792,3.676,18.541,29.534,83.586,82.621
257.833,3.676,18.594,29.820,83.315,82.397
257.875,3.676,18.634,30.036,83.231,82.348
257.958,3.675,18.553,29.614,83.284,82.357
258.000,3.677,18.569,29.616,83.289,82.349
258.042,3.678,18.653,29.562,83.272,82.368
258.083,3.676,18.626,29.268,83.262,82.207
258.125,3.675,18.395,29.305,83.237,82.294
258.167,3.675,18.552,29.065,83.217,82.264
258.208,3.676,18.618,29.204,83.186,82.179
258.250,3.675,18.522,29.175,83.182,82.172
258.292,3.675,18.149,29.137,83.230,82.242
258.375,3.677,18.265,30.614,83.307,82.425
258.417,2.758,15.161,30.513,82.951,82.300
258.458,2.759,15.219,30.629,82.941,82.243
258.500,2.759,15.235,30.083,82.920,82.169
258.542,2.758,15.228,30.425,82.853,82.119
258.583,2.759,15.237,30.050,82.854,82.109
258.625,2.759,15.224,30.297,82.844,82.143
258.667,2.605,15.192,30.292,82.410,81.749
258.708,2.604,15.204,30.301,82.299,81.677
258.750,2.604,15.031,30.192,81.929,81.240
258.792,2.603,14.993,30.011,81.949,81.242
258.833,2.602,15.013,30.174,81.942,81.234
258.875,2.603,14.994,30.012,81.922,81.268
258.958,2.602,14.990,29.858,81.956,81.341
259.000,2.603,15.006,29.943,81.956,81.328
259.042,2.601,14.972,30.005,81.961,81.329
259.083,2.602,14.941,29.766,81.932,81.236
259.125,2.601,14.945,29.652,81.901,81.263
259.167,2.601,14.921,29.602,81.900,81.194
259.208,2.601,14.910,29.635,81.852,81.138
259.250,2.600,14.916,29.798,81.861,81.227
259.292,2.600,14.946,29.721,81.882,81.185
259.375,2.450,15.044,29.587,81.884,81.262
259.417,2.449,15.343,30.427,82.276,81.789
259.458,2.451,15.346,30.159,82.411,81.770
259.500,2.450,15.386,30.502,82.478,81.926
259.542,2.452,15.411,30.571,82.509,81.985
259.583,2.452,15.349,30.295,82.477,81.785
259.625,2.452,15.323,30.005,82.327,81.728
259.667,2.451,15.313,30.333,82.243,81.619
259.708,2.450,15.213,29.943,82.214,81.509
259.750,2.450,15.190,30.112,82.185,81.560
259.792,2.450,15.234,30.176,82.140,81.584
259.833,2.449,15.174,29.958,81.995,81.323
259.875,2.449,15.187,30.266,82.143,81.469
259.958,2.449,15.175,29.975,82.173,81.428
260.000,2.449,15.208,30.073,82.231,81.570
260.042,2.450,15.188,29.841,82.227,81.564
260.083,2.449,15.193,29.707,82.138,81.531
260.125,2.449,15.155,30.028,82.099,81.515
260.167,2.448,15.146,30.084,82.062,81.466
260.208,2.448,15.174,29.870,82.107,81.492
260.250,2.448,15.165,29.962,82.081,81.435
260.292,2.448,15.155,29.960,82.068,81.454
260.375,2.448,15.149,29.886,82.167,81.509
260.417,2.451,15.152,29.638,82.230,81.613
260.458,2.451,15.226,30.043,82.326,81.860
260.500,2.452,15.251,29.848,82.411,81.815
260.542,2.452,15.230,30.006,82.391,81.817
260.583,2.452,15.191,29.711,82.312,81.629
260.625,2.450,15.151,29.842,82.192,81.546
260.667,2.452,15.185,29.735,82.245,81.577
260.708,2.452,15.167,29.793,82.212,81.534
260.750,2.451,15.153,29.705,82.160,81.529
260.792,2.451,15.036,29.767,82.139,81.465
260.833,2.451,15.094,29.899,82.156,81.524
260.875,2.450,14.968,29.958,82.211,81.564
260.958,2.451,15.126,29.591,82.231,81.660
261.000,2.450,15.062,29.477,82.267,81.673
261.042,2.451,15.048,29.556,82.247,81.612
261.083,2.451,15.084,29.683,82.230,81.642
261.125,2.451,15.065,29.558,82.172,81.631
261.167,2.451,15.046,29.547,82.196,81.596
261.208,2.451,15.061,29.643,82.163,81.550
261.250,2.450,15.027,29.635,82.106,81.518
261.292,2.450,15.041,29.596,82.168,81.552
261.375,2.451,15.011,29.322,82.226,81.626
261.417,2.452,15.115,29.814,82.294,81.768
261.458,2.452,15.119,29.780,82.370,81.833
261.500,2.453,15.097,29.554,82.379,81.770
261.542,2.453,15.127,29.458,82.306,81.717
261.583,2.453,15.118,29.342,82.292,81.715
261.625,2.453,15.102,29.589,82.301,81.715
261.667,2.453,15.078,29.517,82.298,81.701
261.708,2.453,15.145,29.387,82.302,81.791
261.750,2.453,15.090,29.630,82.254,81.699
261.792,2.453,15.103,29.545,82.262,81.656
261.833,2.452,15.031,29.508,81.588,80.998
261.875,2.452,15.019,29.320,82.016,81.424
261.958,2.451,15.010,30.392,82.184,81.548
262.000,2.450,14.988,30.537,82.188,81.562
262.042,2.451,15.038,30.194,82.154,81.557
262.083,2.450,14.988,30.265,82.134,81.512
262.125,2.451,14.961,30.366,82.098,81.436
262.167,2.450,14.975,30.453,82.074,81.505
262.208,2.450,14.990,30.340,82.076,81.502
262.250,2.450,14.955,30.201,82.120,81.416
262.292,2.450,14.962,30.414,82.155,81.474
262.375,2.451,15.004,30.216,82.208,81.588
262.417,2.451,15.022,30.334,82.320,81.800
262.458,2.452,15.025,30.524,82.411,81.750
262.500,2.452,15.004,30.186,82.346,81.723
262.542,2.452,15.008,30.209,82.294,81.736
262.583,2.452,14.968,30.397,82.202,81.568
262.625,2.451,14.990,30.328,82.100,81.498
262.667,2.451,14.654,30.436,80.349,79.780
262.708,2.451,14.651,30.342,79.491,78.963
262.750,2.451,14.719,30.666,79.247,78.666
262.792,2.451,14.672,30.468,79.091,78.486
262.833,2.450,14.529,30.323,78.999,78.395
262.875,2.451,14.635,30.446,79.010,78.364
262.958,2.450,14.665,30.446,78.956,78.364
263.000,2.449,14.602,30.324,78.965,78.265
263.042,2.450,14.585,30.116,78.949,78.285
263.083,2.450,14.563,30.522,78.917,78.297
263.125,2.450,14.668,30.485,78.905,78.270
263.167,2.450,14.612,30.225,78.911,78.236
263.208,2.450,14.621,30.305,78.923,78.312
263.250,2.449,14.554,30.167,78.915,78.278
263.292,2.449,14.638,30.298,78.907,78.281
263.375,2.450,14.532,30.302,79.034,78.413
263.417,2.450,14.555,30.043,79.126,78.525
263.458,2.451,14.723,30.143,79.183,78.536
263.500,2.450,14.796,30.470,79.270,78.676
263.542,2.452,14.772,30.329,79.244,78.660
263.583,2.452,14.627,30.217,79.083,78.466
263.625,2.451,14.630,29.984,79.067,78.467
263.667,2.452,14.649,29.989,79.216,78.625
263.708,2.453,14.584,30.025,79.075,78.456
263.750,2.451,14.644,30.294,78.981,78.450
263.792,2.451,14.604,30.091,78.982,78.385
263.833,2.451,14.653,30.139,78.987,78.298
263.875,2.451,14.636,30.134,78.933,78.349
263.958,2.452,14.636,30.074,78.996,78.356
264.000,2.452,14.615,30.293,78.987,78.394
264.042,2.449,14.591,29.999,78.967,78.319
264.083,2.450,14.524,30.024,78.939,78.289
264.125,2.451,14.599,30.081,78.916,78.303
264.167,2.757,15.748,30.151,79.063,78.428
264.208,2.756,15.896,30.189,79.945,79.206
264.250,2.756,14.961,30.340,80.200,79.535
264.292,2.757,14.970,30.199,80.268,79.618
264.375,2.757,14.961,29.916,80.373,79.654
264.417,2.757,14.952,30.028,80.385,79.752
264.458,2.758,14.984,30.071,80.548,79.901
264.500,2.759,15.066,30.046,80.643,79.940
264.542,2.759,15.088,30.239,80.696,80.051
264.583,2.759,15.132,30.199,80.758,80.052
264.625,2.758,15.202,30.436,80.691,80.074
264.667,2.760,15.158,30.329,80.626,79.895
264.708,2.760,15.123,30.165,80.525,79.877
264.750,2.761,15.164,30.374,80.541,79.911
264.792,2.760,15.027,30.086,80.509,79.829
264.833,2.759,15.063,29.980,80.532,79.861
264.875,2.758,15.054,29.816,80.534,79.885
264.958,2.759,15.052,29.999,80.417,79.800
265.000,2.759,15.018,29.966,80.386,79.781
265.042,2.757,14.976,29.821,80.331,79.674
265.083,2.756,14.990,30.004,80.299,79.647
265.125,2.757,14.973,29.772,80.315,79.647
265.167,2.756,14.983,29.948,80.324,79.663
265.208,2.756,14.943,29.870,80.322,79.662
265.250,2.755,14.997,30.078,80.280,79.688
265.292,2.757,14.984,29.935,80.297,79.653
265.375,2.756,14.908,29.860,80.366,79.710
265.417,2.758,15.008,29.843,80.518,79.887
265.458,2.758,15.010,29.599,80.555,79.880
265.500,2.758,15.031,30.004,80.603,79.970
265.542,2.759,15.081,30.012,80.554,79.944
265.583,2.760,15.051,29.964,80.552,79.918
265.625,2.759,15.055,29.850,80.496,79.896
265.667,2.760,15.067,29.740,80.451,79.829
265.708,2.758,15.073,29.841,80.389,79.790
265.750,2.758,15.034,30.030,80.522,79.913
265.792,2.971,17.217,29.666,81.519,80.810
265.833,3.674,19.401,30.446,84.359,83.434
265.875,3.671,19.535,30.509,84.679,83.745
265.958,3.673,19.452,30.513,84.906,83.906
266.000,3.672,19.479,30.264,84.974,83.926
266.042,3.672,19.431,30.397,84.323,83.358
266.083,3.673,19.463,30.313,84.215,83.223
266.125,3.674,19.352,30.154,84.025,83.000
266.167,3.673,19.315,30.318,84.075,83.055
266.208,3.672,19.382,30.344,84.153,83.209
266.250,3.673,19.447,30.284,84.188,83.235
266.292,3.673,19.425,30.658,84.138,83.184
266.375,2.449,14.038,30.150,81.926,81.317
266.417,2.756,15.474,30.014,82.117,81.468
266.458,2.756,15.537,30.484,82.354,81.687
266.500,2.757,15.562,30.153,82.388,81.759
266.542,2.758,15.667,30.415,82.413,81.749
266.583,2.759,15.704,30.386,82.458,81.806
266.625,2.759,15.836,30.274,82.488,81.800
266.667,2.759,15.789,30.460,82.564,81.844
266.708,2.759,15.714,29.990,82.438,81.665
266.750,2.758,15.699,30.276,82.395,81.664
266.792,2.756,15.707,30.392,82.416,81.718
266.833,2.449,14.607,30.257,82.091,81.399
266.875,2.453,14.246,30.131,82.123,81.532
266.958,2.450,14.169,30.280,81.372,80.831
267.000,2.450,14.151,30.179,81.247,80.733
267.042,2.450,14.268,30.338,81.659,81.127
267.083,2.451,14.257,30.140,81.910,81.404
267.125,2.450,14.292,30.178,81.989,81.488
267.167,2.450,14.235,30.295,82.058,81.496
267.208,2.451,14.239,30.148,82.073,81.549
267.250,2.452,14.216,30.315,82.025,81.519
267.292,2.451,14.189,30.151,82.006,81.492
267.375,2.451,14.096,30.120,82.135,81.523
267.417,2.452,14.141,30.154,82.200,81.690
267.458,2.452,14.168,30.221,82.309,81.587
267.500,2.453,14.155,30.286,82.363,81.770
267.542,2.453,14.223,30.282,82.391,81.835
267.583,2.454,14.298,30.330,82.383,81.828
267.625,2.452,14.179,30.097,82.271,81.647
267.667,2.451,14.160,30.018,82.196,81.638
267.708,2.452,14.102,30.061,82.129,81.477
267.750,2.451,14.107,30.008,82.115,81.443
267.792,2.451,14.145,30.067,82.111,81.525
267.833,2.451,14.114,29.968,82.106,81.485
267.875,2.450,14.112,30.297,82.228,81.536
267.958,2.451,14.106,30.112,82.256,81.606
268.000,2.451,14.549,30.072,82.284,81.634
268.042,2.451,14.398,30.229,82.243,81.598
268.083,2.450,14.387,30.253,82.198,81.567
268.125,2.452,14.354,29.931,82.164,81.496
268.167,2.452,14.352,30.189,82.117,81.524
