DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
312.083,5.977,29.458,30.858,87.150,86.051
312.125,5.980,29.318,30.523,87.198,85.972
312.167,5.979,29.211,30.690,87.144,86.007
312.208,5.976,29.317,30.709,87.168,85.958
312.250,5.976,29.218,30.323,87.147,85.926
312.292,5.977,29.387,30.754,87.119,85.883
312.375,2.756,14.573,30.009,83.157,82.570
312.417,2.756,14.582,30.398,80.082,79.699
312.458,2.757,14.593,30.434,79.394,79.060
312.500,2.757,14.653,30.309,79.231,78.879
312.542,2.757,14.614,30.524,79.100,78.780
312.583,2.757,14.650,30.567,79.073,78.739
312.625,2.758,14.663,30.588,79.044,78.696
312.667,2.757,14.599,30.403,79.047,78.697
312.708,2.758,14.630,30.308,78.982,78.560
312.750,2.756,14.635,30.448,78.964,78.503
312.792,2.757,14.596,30.415,78.942,78.551
312.833,2.757,14.583,30.506,78.991,78.542
312.875,2.756,14.584,30.404,78.990,78.530
312.958,5.945,29.149,31.009,86.633,85.503
313.000,5.950,28.738,30.552,87.017,85.888
313.042,5.949,28.898,30.577,87.089,85.951
313.083,5.947,28.900,30.495,87.114,85.960
313.125,5.949,29.117,30.644,87.151,85.973
313.167,5.949,28.950,30.405,87.153,86.004
313.208,5.947,28.846,30.761,87.152,85.954
313.250,5.947,28.750,30.610,87.077,85.964
313.292,5.947,28.777,30.778,87.064,85.909
313.375,5.947,28.785,30.562,87.025,85.934
313.417,5.945,28.958,30.374,87.098,85.979
313.458,5.946,29.251,30.607,87.167,86.060
313.500,5.947,29.139,30.657,87.176,86.079
313.542,5.948,28.867,30.340,87.253,86.131
313.583,5.948,28.990,30.488,87.260,86.129
313.625,5.949,29.025,30.626,87.246,86.101
313.667,5.950,28.961,30.615,87.252,86.186
313.708,5.949,28.502,30.410,87.316,86.202
313.750,5.950,29.191,30.716,87.214,86.103
313.792,5.949,29.120,30.407,87.241,86.091
313.833,5.950,29.122,30.676,87.200,86.096
313.875,5.950,29.017,30.161,87.224,86.068
